"","coef","std","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax","df.combo"
"1",0.000512614300746375,"0.00110708178357921",-0.00185288206528892,0.0024993403982692,0,"lag.data","ns",2,1,1,"211"
"2",0.000490968947195379,"0.00113049878957841",-0.00192244929500932,0.00252143929222522,0,"lag.data","ns",3,1,1,"311"
"3",0.000939802071315895,"0.00111381343694893",-0.0014397569166597,0.00293961205740578,0,"lag.data","ns",4,1,1,"411"
"4",0.000766673598943115,"0.00110105391322437",-0.00158035755819114,0.0027484872745588,0,"lag.data","ns",5,2,2,"522"
"5",0.000761035051372834,"0.00109340864179637",-0.00156927602510065,0.00272975233617706,0,"lag.data","ns",6,2,2,"622"
"6",0.000796248405198954,"0.00108428990543828",-0.00151499044692135,0.00274847420108802,0,"lag.data","ns",7,2,2,"722"
"7",0.000831522018431265,"0.00108065208485554",-0.00147224291219709,0.00277696241375436,0,"lag.data","ns",8,2,2,"822"
"8",0.00102472846449069,"0.00110039108658789",-0.00132164378460831,0.0030051221122197,0,"lag.data","ns",9,3,3,"933"
"9",0.00104274806613619,"0.00110289849434788",-0.00130920540348273,0.00302754474747916,0,"lag.data","ns",10,3,3,"1033"
"10",0.000808694703302582,"0.00103255741196959",-0.00139339960238488,0.00266775669332592,1,"lag.data","ns",2,1,1,"211"
"11",0.000812384544642603,"0.00105754927183374",-0.00144062052353972,0.00271859487796037,1,"lag.data","ns",3,1,1,"311"
"12",0.00134213349992708,"0.0010420831707627",-0.000878586918812592,0.003220903721808,1,"lag.data","ns",4,1,1,"411"
"13",0.00106659869167586,"0.00103792652306433",-0.001140289459352,0.00294232848086349,1,"lag.data","ns",5,2,2,"522"
"14",0.00102245507330407,"0.00103350490079576",-0.00117401078216935,0.00289128824719148,1,"lag.data","ns",6,2,2,"622"
"15",0.00102670998100767,"0.00102619342439118",-0.00115415688060657,0.00288253943273612,1,"lag.data","ns",7,2,2,"722"
"16",0.00104517191543523,"0.00102271113075668",-0.00112847708302247,0.00289453607559973,1,"lag.data","ns",8,2,2,"822"
"17",0.00119841504292276,"0.00104246999108281",-0.00101888189224803,0.00308186397208227,1,"lag.data","ns",9,3,3,"933"
"18",0.00121355674505071,"0.00104420802317206",-0.00100767713102165,0.0030999945656542,1,"lag.data","ns",10,3,3,"1033"
"19",0.00060231416308839,"0.000994222693919387",-0.00152004713174583,0.00239154868098611,2,"lag.data","ns",2,1,1,"211"
"20",0.000619418116216906,"0.00101885207864483",-0.0015530462111242,0.00245527192917778,2,"lag.data","ns",3,1,1,"311"
"21",0.00116953385928082,"0.00100478566709119",-0.000973000189167198,0.00298105412302322,2,"lag.data","ns",4,1,1,"411"
"22",0.000848071501684955,"0.00100769070775117",-0.00129621201167393,0.00266848479682627,2,"lag.data","ns",5,2,2,"522"
"23",0.000784810784975502,"0.00100546860152381",-0.00135337001508227,0.00260258191099814,2,"lag.data","ns",6,2,2,"622"
"24",0.000773420758580945,"0.000999355110022475",-0.00135144417201438,0.00258056601514761,2,"lag.data","ns",7,2,2,"722"
"25",0.00078122279965924,"0.000996121171959661",-0.00133676944526278,0.00258252356771871,2,"lag.data","ns",8,2,2,"822"
"26",0.000877412144307246,"0.00101379547042719",-0.00128043041092408,0.00270864694868897,2,"lag.data","ns",9,3,3,"933"
"27",0.000890953941330349,"0.00101510508731165",-0.00126999435339855,0.00272432793598934,2,"lag.data","ns",10,3,3,"1033"
"28",0.000447954700601621,"0.000988075125418885",-0.00166070156622782,0.00222576058870659,3,"lag.data","ns",2,1,1,"211"
"29",0.000513813281684596,"0.00101155732765822",-0.00164281943314486,0.00233586258595348,3,"lag.data","ns",3,1,1,"311"
"30",0.00107070177312793,"0.000998831031881513",-0.00105927632657303,0.00287046779004704,3,"lag.data","ns",4,1,1,"411"
"31",0.000745306282609568,"0.00100551351895648",-0.0013952877854014,0.00255966306573115,3,"lag.data","ns",5,2,2,"522"
"32",0.000666212612055929,"0.00100488028010537",-0.00147121581655262,0.0024812006934248,3,"lag.data","ns",6,2,2,"622"
"33",0.000641978450731819,"0.000999803538634514",-0.00148404693397997,0.00244852438418704,3,"lag.data","ns",7,2,2,"722"
"34",0.000640527174290574,"0.000996887428643633",-0.00147906982068629,0.00244206245485961,3,"lag.data","ns",8,2,2,"822"
"35",0.000734362902120687,"0.00101239989999275",-0.00142069592858347,0.00256147837494467,3,"lag.data","ns",9,3,3,"933"
"36",0.000745685237189439,"0.0010140130630122",-0.00141327385501844,0.00257532665983357,3,"lag.data","ns",10,3,3,"1033"
