"","coef","std","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax"
"1",-8.93673267668664e-05,"0.00151190161303718",-0.00314553425860883,0.00277493541963356,0,"lag.datapm25","ns",5,2,2
"2",0.00376023816780895,"0.00206143177782941",-0.000339870584001036,0.00773337891990534,1,"lag.datapm25.l1","ns",5,2,2
"3",-0.00124290779582135,"0.0021157910034335",-0.00545000757328567,0.00283809377615166,2,"lag.datapm25.l2","ns",5,2,2
"4",-0.000745247013517863,"0.00208182527830392",-0.00486858710817591,0.00329092425417661,3,"lag.datapm25.l3","ns",5,2,2
"5",0.00225870872195819,"0.00191210333119801",-0.00153330726898616,0.00596257412564831,4,"lag.datapm25.l4","ns",5,2,2
"6",-0.000984710075637399,"0.00200406239979214",-0.0049984972470664,0.00285539604445069,5,"lag.datapm25.l5","ns",5,2,2
"7",0.000535818832033157,"0.00211133291040796",-0.00367117824022273,0.00460659218561737,6,"lag.datapm25.l6","ns",5,2,2
"8",-0.00159349619170107,"0.0023662024549922",-0.00629158422531972,0.002977326231364,7,"lag.datapm25.l7","ns",5,2,2
"9",0.000331587698406286,"0.00233514726454371",-0.00435482714209667,0.00478849116381902,8,"lag.datapm25.l8","ns",5,2,2
"10",0.000606817155701524,"0.00229630577567912",-0.00396113865698301,0.00503079263530397,9,"lag.datapm25.l9","ns",5,2,2
"11",0.00313568074238427,"0.00203203966760513",-0.000925326965124903,0.00704810105605011,10,"lag.datapm25.l10","ns",5,2,2
"12",0.00363904268086856,"0.00205434015802736",-0.000433281338022445,0.00763064699979399,11,"lag.datapm25.l11","ns",5,2,2
"13",-0.00699947487061995,"0.00248313422710021",-0.0120649212319951,-0.00236191274874627,12,"lag.datapm25.l12","ns",5,2,2
"14",0.00523288574290023,"0.00207020484393261",0.00115007420522136,0.00928300087611826,13,"lag.datapm25.l13","ns",5,2,2
"15",0.00209837247082045,"0.00225862305758581",-0.00244963468050866,0.00639317356080595,14,"lag.datapm25.l14","ns",5,2,2
"16",0.00994394893881712,"0.00182875160487962",0.00635959579325307,0.0135283020843812,NA,NA,NA,NA,NA,NA
