"lag.smoke","lag.smoke.low","lag.smoke.high","lag","df.date","df.tmmx","df.rmax","pm.threshold"
0.178941282202158,0.0644156279607087,0.292169465900214,0,5,2,2,24
0.244295291214375,0.129012338608293,0.358511015685941,1,5,2,2,24
0.349615537911955,0.233234530682929,0.465162851300196,2,5,2,2,24
0.245380476375711,0.125794865373918,0.363986757872373,3,5,2,2,24
0.199499877140075,0.0774999404631816,0.320430536814373,4,5,2,2,24
0.339796934985542,0.216168671723926,0.46251171707281,5,5,2,2,24
0.262295202987933,0.133472505948551,0.389970755929765,6,5,2,2,24
0.215796439237689,0.0824303319261806,0.347721619758303,7,5,2,2,24
0.377503036717688,0.242829547284458,0.510832030541579,8,5,2,2,24
0.580510773297414,0.44525208630712,0.714555609797275,9,5,2,2,24
0.58266413766654,0.445321552829717,0.718556911294169,10,5,2,2,24
0.623502597290578,0.485557537549317,0.759675594474034,11,5,2,2,24
0.484562638626509,0.339060690121933,0.627240042745451,12,5,2,2,24
0.392970018063577,0.236251261123382,0.545615868691564,13,5,2,2,24
0.226567022983915,0.0569665455230697,0.390896676755228,14,5,2,2,24
0.279026033547485,0.107226573187337,0.445622548287014,15,5,2,2,24
0.354598828993067,0.178609406066145,0.525227842698312,16,5,2,2,24
0.347536759840012,0.163657865951701,0.52523546968607,17,5,2,2,24
0.306441634218286,0.115237431443844,0.490529784111815,18,5,2,2,24
0.530163432220995,0.347095541432879,0.707311273570943,19,5,2,2,24
0.557620407011671,0.370093838746101,0.739017495704463,20,5,2,2,24
0.613103823458979,0.424731866355426,0.795363507774263,21,5,2,2,24
0.749278849455169,0.56483857886356,0.928188323510958,22,5,2,2,24
0.85865737334157,0.672969607812566,1.0388677456456,23,5,2,2,24
0.753570911379991,0.557859747425087,0.942683642925231,24,5,2,2,24
0.657694279167495,0.454671786244384,0.853178106055257,25,5,2,2,24
0.548462643597896,0.335437752634222,0.752638109590088,26,5,2,2,24
0.456898154128082,0.229914402150625,0.673466271167582,27,5,2,2,24
0.490204206111243,0.257302000776862,0.712487889660499,28,5,2,2,24
