"lag.data","lag.data.low","lag.data.high","fireday1","fireday1.low","fireday1.high","lag.data:fireday1","lag.data:fireday1.low","lag.data:fireday1.high","lag","df.date","df.tmmx","df.rmax"
0.0176929194558313,0.0128246501452913,0.0225516025258341,0.364449834201705,0.275079509057632,0.453883404140292,-0.0172955596854272,-0.0223256071577274,-0.0122576697346631,0,5,2,2
0.019448253170946,0.0147917755097508,0.0240949919231986,0.418492782387195,0.333235232817271,0.503745388664124,-0.0182905662221817,-0.0230711626523036,-0.0135014412165882,1,5,2,2
0.0180513196889847,0.0134358682527338,0.0226570635937237,0.478062273276619,0.392746861884008,0.563396909861,-0.0177541753666408,-0.0225018479967987,-0.0129984394194291,2,5,2,2
0.0227268685430891,0.0181318739571604,0.0273119710535731,0.306083169161767,0.21909159005607,0.393014178393032,-0.021206240155189,-0.0259202900024965,-0.0164835620991522,3,5,2,2
0.0277511096230234,0.023194705880681,0.0322977815786186,0.356499028921167,0.269316453008853,0.443618619772704,-0.0262380636598746,-0.0309133661307686,-0.0215543683596168,4,5,2,2
0.0289508115442866,0.0243932134268705,0.0334982121566331,0.506176651564517,0.419623805960844,0.592694171738572,-0.0278171632852493,-0.0325014800283555,-0.0231241910558969,5,5,2,2
0.0191647261515895,0.0145589748945648,0.0237601648619452,0.448526910522838,0.360792372988129,0.536216143607418,-0.0178085448087928,-0.022540272811695,-0.0130680793358535,6,5,2,2
0.0115622196458442,0.00691439290956215,0.016199996929248,0.305825101487525,0.217637320060561,0.393892740672744,-0.00936910457365351,-0.0141265648847714,-0.00460285907072944,7,5,2,2
0.00912445458116306,0.00444458677655632,0.0137933719675443,0.347004208955613,0.257701934305696,0.436285707940536,-0.0077371216950393,-0.012531811371643,-0.00293338269451026,8,5,2,2
0.0109916624996294,0.00631362181809259,0.015659155913104,0.209033461065686,0.119357961678422,0.298599069865869,-0.00835256286311458,-0.0131331182184179,-0.00356308143649075,9,5,2,2
0.00663163196104402,0.00192219569957922,0.0113304380193633,0.0830273236719565,-0.00934394357441019,0.175363408315565,-0.00324557743526823,-0.00807835216208366,0.00159524059982815,10,5,2,2
0.00692251117540166,0.00217892104436413,0.0116551537900351,0.15871400569483,0.0636112510231564,0.254114639363612,-0.00355891874868536,-0.0084709633101555,0.00135851874358152,11,5,2,2
0.0123515106587145,0.00760938009092263,0.0170826912413271,0.299591058152059,0.192881955696474,0.407242662386741,-0.0111777862618744,-0.016289591564709,-0.006072435096915,12,5,2,2
0.0105270152175629,0.00578716369202324,0.0152559891685467,0.268001832741981,0.153394857947479,0.384233497454676,-0.00962338202866518,-0.0148644558874844,-0.00440197070416836,13,5,2,2
0.00734558892377597,0.00263465860016484,0.0120463864066491,0.252694754429043,0.129923380423511,0.375711547719976,-0.00712461765756755,-0.0124870963911473,-0.00177453886883488,14,5,2,2
0.00574877853007747,0.00109106282323407,0.0103952406428042,0.395072632620656,0.264325368704421,0.526028881426037,-0.0107667008858113,-0.0162415107595846,-0.00531004073599277,15,5,2,2
0.00804973191904283,0.00341536715140585,0.0126727879560994,0.267281732383199,0.136792951049974,0.398053877956083,-0.011354119359221,-0.0168011118668993,-0.00592906295441937,16,5,2,2
0.00917009439698224,0.00449271759673116,0.0138354916840524,-0.0267039352052869,-0.158187434733098,0.104726642210118,-0.007234860660104,-0.0126062887875416,-0.0018783263999522,17,5,2,2
0.00431035192331763,-0.00042609187378925,0.00903395627691724,-0.117553841146931,-0.253805570743718,0.0186359426221528,-0.00165158139007898,-0.00712668247540607,0.00380748121076405,18,5,2,2
0.00399227702532114,-0.000773033937525449,0.00874420668538084,0.102321910254082,-0.0362193513944529,0.240944095818736,-0.0046380122223948,-0.0102637236303743,0.000965501252212991,19,5,2,2
-0.00274942686213047,-0.00751728500519843,0.00200537975442134,0.00813690747386972,-0.130074556741921,0.146368829957645,0.00519243122137788,-0.00033732429547654,0.0107034310147868,20,5,2,2
0.000927108422072627,-0.00378623671076515,0.00562853419643825,0.143354668190216,0.00500615363785861,0.281673544321062,0.000384963979988122,-0.00515229052798339,0.00589946933240791,21,5,2,2
-0.00589958072609166,-0.0105942149795733,-0.00121710094312653,0.0294108605830491,-0.122724294706955,0.18120280158393,0.0044990036676309,-0.00117826195040483,0.0101472150506999,22,5,2,2
-0.00976274285157278,-0.0144607570903575,-0.00507634019237544,-0.0652838278952908,-0.209569730254968,0.0788226510620735,0.0105241199014432,0.00497558475453804,0.0160466775104366,23,5,2,2
-0.000410498407500684,-0.00510689451833243,0.0042744079128886,-0.202491469211381,-0.34196235565794,-0.0633867990215337,0.00713007030482,0.00181315549573224,0.012433288087802,24,5,2,2
0.00748775080336514,0.00279907109471675,0.0121648857269334,0.304698201546404,0.160402936439111,0.448583886901645,-0.00908815710492594,-0.014659005624548,-0.00354150477279401,25,5,2,2
0.00150649310855512,-0.00319837654183105,0.00619960735938859,0.0749208379161282,-0.0771442003587243,0.226484838034077,-0.00137876462085803,-0.00701655823194452,0.00422940640320195,26,5,2,2
0.00439102110506408,-0.000285469113059172,0.00905614108247989,0.117157192777452,-0.0390836618450142,0.27299562163092,-0.00333128212507335,-0.00897822395097119,0.00227981332857902,27,5,2,2
0.00231244376582818,-0.00235039559052236,0.00696516309492525,-0.040331044978369,-0.200193036625975,0.119073645273817,0.000988252999644208,-0.00467388355301068,0.00660837093722867,28,5,2,2
