"lag.base","lag.base.low","lag.base.high","lag.hazard","lag.hazard.low","lag.hazard.high","lag","df.date","df.tmmx","df.rmax"
0.00920990425862135,0.006949265100209,0.0113216400129155,0.0016691369654933,0.000961636383567796,0.00234574294313347,0,5,2,2
0.00838923403893852,0.00608916682387018,0.0105375820651794,0.00148542197939098,0.000781655095679954,0.00215890410019356,0,6,2,2
0.00861383145303952,0.00634993899317658,0.0107273047564333,0.001543633275957,0.000846773494361305,0.00221054064648057,0,7,2,2
0.00828836732796523,0.00598629877213609,0.0104356057620539,0.0015159172410455,0.000818140760440868,0.00218362957939731,0,9,2,2
0.00868703446645854,0.00638000947775402,0.0108415344445545,0.00164344812788993,0.000945598298269401,0.00231136351382207,0,11,3,3
0.00863428897847505,0.0062948402849237,0.0108194318695188,0.00169664495453915,0.000996741620903828,0.00236657363501579,0,14,3,3
0.00767196806949063,0.00517291369604485,0.0100091781756529,0.0027385640393042,0.00210603522154653,0.00334469019494238,1,5,2,2
0.0065958280273964,0.00404052752119688,0.00898778395602319,0.00249318403660364,0.00186035368319665,0.00309995367445839,1,6,2,2
0.00674485313877614,0.00421790217269716,0.00910767997668534,0.00247579205866062,0.00184668689115135,0.00307912838101905,1,7,2,2
0.00634530747338733,0.0037691001951448,0.00875258709907231,0.00244532107132672,0.00181593859447317,0.00304888355015461,1,9,2,2
0.00696280444503801,0.00442579802475397,0.00933412874213042,0.00255382525803565,0.00192444089399557,0.00315738720611708,1,11,3,3
0.00665959006625884,0.00407662415276699,0.00907531689087196,0.00257609065971147,0.00194423441509072,0.00318199121788175,1,14,3,3
0.00915751526478676,0.00679717754022412,0.0113617170611159,0.00224715824336749,0.00157410554517233,0.00289095587641897,2,5,2,2
0.00807629228258306,0.00566455810303725,0.0103297845554365,0.00194352979734162,0.00126762940582985,0.00259051223482407,2,6,2,2
0.00811831512047487,0.00573311415783975,0.010345592591192,0.00187817338704305,0.00120417414060509,0.00252348899502995,2,7,2,2
0.00774292424703368,0.00531019497207792,0.0100115534326542,0.00184655440738926,0.00117279586949297,0.00249166337773348,2,9,2,2
0.00842764442113904,0.00605018707260712,0.0106458702541489,0.00192556524590135,0.00125028637412615,0.00257207777480425,2,11,3,3
0.00795002594878312,0.00552138011740691,0.0102164676177572,0.00190619519423712,0.00122782165125934,0.00255566692841307,2,14,3,3
0.0107196105664546,0.00850973983932404,0.0127831807423136,0.00211915261897461,0.00142236011675307,0.00278559611041669,3,5,2,2
0.00964435549918341,0.00739193473942674,0.0117481548285973,0.00176495586109464,0.00106274940867075,0.00243711167273444,3,6,2,2
0.00955317580466915,0.0073202542415696,0.0116381910240399,0.00165044254065962,0.000947942581486197,0.00232307595702125,3,7,2,2
0.00926430579379334,0.00699479504044735,0.0113801269213247,0.00161895304210681,0.000916954504321858,0.00229120509134969,3,9,2,2
0.00995618099009175,0.0077301824672284,0.0120332317595746,0.00169735209975921,0.000992748672823182,0.00237222026962938,3,11,3,3
0.00944581994930271,0.00717896607004822,0.0115605238255997,0.00162176719732612,0.000912860571263174,0.00230079089574715,3,14,3,3
0.0101674674936925,0.00772644514342622,0.0124446944666581,0.00231647803029014,0.00162324247041043,0.00297920818707985,4,5,2,2
0.00890078922927846,0.00640702364221988,0.0112300645500816,0.00191539472696318,0.001213031421881,0.00258733735547962,4,6,2,2
0.00871001278690672,0.00622900522322475,0.0110263909507453,0.00174888870595409,0.00104285621884071,0.00242457381491268,4,7,2,2
