"lag.smoke","lag.smoke.low","lag.smoke.high","lag","df.date","df.tmmx","df.rmax","pm.threshold"
0.187266683421482,0.130483335906184,0.243726030368731,0,5,2,2,24
0.192030622204515,0.134012578177556,0.249732702579282,1,5,2,2,24
0.282754190489262,0.223979165928617,0.341245074170861,2,5,2,2,24
0.274749037688668,0.214548965539668,0.33465330024899,3,5,2,2,24
0.246304279626276,0.184406390940445,0.307890511026006,4,5,2,2,24
0.295470765985243,0.232145036443616,0.358487776034149,5,5,2,2,24
0.347295650064868,0.28248689602159,0.411792667799837,6,5,2,2,24
0.338823262728448,0.272368644373527,0.404923592352881,7,5,2,2,24
0.387895288440453,0.320193196231135,0.455223341558524,8,5,2,2,24
0.333559994328184,0.26362584088272,0.403023262528494,9,5,2,2,24
0.325622563690444,0.254098382578272,0.396578727011571,10,5,2,2,24
0.363849302759545,0.29122328575198,0.435804112741396,11,5,2,2,24
0.282374747142889,0.205951232485656,0.357891821863629,12,5,2,2,24
0.231451843466843,0.151067635366393,0.310713272114454,13,5,2,2,24
0.159531442803212,0.0750197609327281,0.242740882258146,14,5,2,2,24
0.16207706844211,0.0749903982638312,0.247776543888546,15,5,2,2,24
0.157907961911496,0.0671763362094017,0.24708663942637,16,5,2,2,24
0.144001584542418,0.049520101385571,0.236717260250601,17,5,2,2,24
0.0775813746630484,-0.0221922096754177,0.175256542911708,18,5,2,2,24
0.140163153060512,0.0388596157705266,0.239357048324252,19,5,2,2,24
0.243969000205943,0.142549207124572,0.343394735045705,20,5,2,2,24
0.255525800638974,0.151860877688305,0.357092058881669,21,5,2,2,24
0.271417296877421,0.165839486820726,0.374784230425436,22,5,2,2,24
0.261186326575883,0.15157026995421,0.368331544597617,23,5,2,2,24
0.277683533370736,0.165105666029415,0.38759929602362,24,5,2,2,24
0.341302463420492,0.228262508742216,0.451672220626871,25,5,2,2,24
0.335788467509024,0.218942121208314,0.449744180886336,26,5,2,2,24
0.287753041668476,0.16453263612011,0.407719490150268,27,5,2,2,24
0.36776137295911,0.243371310320726,0.488965268449753,28,5,2,2,24
