"","coef","std","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax"
"1",0.00204742301373895,"0.000336560077135364",0.00137358351831305,0.00269322460810493,0,"lag.data","ns",5,2,2
"2",0.002911817999447,"0.000307192262279716",0.00229724448978181,0.00350181882895326,1,"lag.data","ns",5,2,2
"3",0.00253365055057533,"0.000321863402096023",0.00188933447611251,0.00315141178853518,2,"lag.data","ns",5,2,2
"4",0.00252056793106637,"0.000329688828619101",0.00186064089414758,0.00315338677791441,3,"lag.data","ns",5,2,2
"5",0.00262790165123228,"0.000331873792079879",0.00196331478049378,0.00326467256400384,4,"lag.data","ns",5,2,2
"6",0.00305356225529261,"0.000328179534027905",0.00239645386075142,0.00368337737611491,5,"lag.data","ns",5,2,2
"7",0.00323483638324612,"0.000333058386787425",0.00256773407134563,0.00387382368540529,6,"lag.data","ns",5,2,2
"8",0.00346140216675569,"0.000332086342262966",0.00279583614457376,0.00409817333751105,7,"lag.data","ns",5,2,2
"9",0.00308614237559466,"0.000348456652471429",0.00238648329905031,0.00375302103951804,8,"lag.data","ns",5,2,2
"10",0.00348435836605864,"0.000348974306535069",0.00278307847530762,0.00415175979868106,9,"lag.data","ns",5,2,2
"11",0.00376640809728141,"0.000387593165667005",0.00298594438721294,0.00450603108176865,10,"lag.data","ns",5,2,2
"12",0.0043599524032942,"0.0004317394255473",0.00348856544257527,0.00518180260477734,11,"lag.data","ns",5,2,2
"13",0.00392468150918416,"0.000563798900118221",0.00278752870623556,0.0049971977908683,12,"lag.data","ns",5,2,2
"14",0.00379893602849108,"0.000637360015495724",0.00250941481742036,0.00500628691415234,13,"lag.data","ns",5,2,2
"15",0.00365427689444424,"0.000761841009898737",0.00213703600801044,0.00512326333319785,14,"lag.data","ns",5,2,2
"16",0.00107435917277915,"0.000821962803727042",-0.000559391985114884,0.00266278419563351,15,"lag.data","ns",5,2,2
"17",0.000634902140049653,"0.000838717756944387",-0.00103419491126723,0.00225360872840388,16,"lag.data","ns",5,2,2
"18",0.00132780670907248,"0.000831938133731266",-0.000328150938242122,0.00293316773976044,17,"lag.data","ns",5,2,2
"19",0.000874065212798019,"0.000863480468160561",-0.000844593145039924,0.00254036213938575,18,"lag.data","ns",5,2,2
"20",0.000889146056993139,"0.000886002037304272",-0.000875168972815248,0.00259800893486204,19,"lag.data","ns",5,2,2
"21",0.00257536076758062,"0.000876673534870362",0.000828361550370437,0.00426487727795352,20,"lag.data","ns",5,2,2
"22",0.00339885507322382,"0.000879559966898449",0.00164557790090935,0.00509338702853397,21,"lag.data","ns",5,2,2
"23",-0.00096452524620884,"0.000963342553422443",-0.00288216925378699,0.00089428383291359,22,"lag.data","ns",5,2,2
"24",-0.00024194257291159,"0.000948875914587143",-0.00213303048246561,0.00158656408466648,23,"lag.data","ns",5,2,2
"25",0.00410099012020054,"0.00083592677198046",0.00243388003153177,0.0057107262413091,24,"lag.data","ns",5,2,2
"26",0.00289875577962062,"0.000879958274390599",0.00114454793036078,0.00459401483435455,25,"lag.data","ns",5,2,2
"27",0.00125259364788329,"0.000944348672795459",-0.000630556999724272,0.00307129355850699,26,"lag.data","ns",5,2,2
"28",0.00280408302618603,"0.000943214691835229",0.000921170448948506,0.00461843017580461,27,"lag.data","ns",5,2,2
"29",0.00270125342125857,"0.000986184724441698",0.000732707449915274,0.00459841485495169,28,"lag.data","ns",5,2,2
