"lag.smoke","lag.smoke.low","lag.smoke.high","lag","df.date","df.tmmx","df.rmax","pm.threshold"
-0.0919922008257476,-0.142421603022078,-0.0419106893236346,0,2,1,1,20
0.0981662305659623,0.0505314874277844,0.14551014594194,0,3,1,1,20
0.202974928772839,0.154812317187662,0.2508675032398,0,4,1,1,20
0.171394314053346,0.123396124006838,0.219131166778162,0,5,2,2,20
0.158346129239005,0.110801608746872,0.205628324987377,0,6,2,2,20
0.181173678991688,0.133442513954102,0.228644692577127,0,7,2,2,20
0.178586429420963,0.130107329339344,0.226839941346527,0,9,2,2,20
0.190072656635935,0.141614118019822,0.238309255061089,0,11,3,3,20
0.188933154810387,0.140723337655956,0.236915955351666,0,14,3,3,20
-0.0418356280004407,-0.0922388164101643,0.0082261833799373,1,2,1,1,20
0.165028854250326,0.117414265310953,0.21235429671216,1,3,1,1,20
0.284769072161281,0.236554356520883,0.33271220011862,1,4,1,1,20
0.253104636038614,0.204814103818739,0.301136158250199,1,5,2,2,20
0.231510468779548,0.183617328002534,0.279145203419174,1,6,2,2,20
0.247458436114791,0.199478492915593,0.295179444057161,1,7,2,2,20
0.245747205629307,0.197164186622086,0.294107313684168,1,9,2,2,20
0.250342137440806,0.201800178961165,0.298664194762578,1,11,3,3,20
0.246162522390612,0.197903461191458,0.294198307667865,1,14,3,3,20
-0.0223717458886899,-0.0725433028289065,0.0274689777636818,2,2,1,1,20
0.193090354771708,0.145697041007397,0.240201527428293,2,3,1,1,20
0.319917296360176,0.271919209384812,0.367648349018017,2,4,1,1,20
0.294065313227671,0.245858263886239,0.342022005269602,2,5,2,2,20
0.266818607459676,0.218943715989625,0.314445225848072,2,6,2,2,20
0.277979073412539,0.230075209191629,0.325631601275123,2,7,2,2,20
0.276642329344866,0.228171909318578,0.324899705748275,2,9,2,2,20
0.277870899440913,0.229401566576771,0.326132114624218,2,11,3,3,20
0.270483171732459,0.222290972957351,0.318465573181412,2,14,3,3,20
-0.221657775959007,-0.274119655820672,-0.169579704543903,3,2,1,1,20
0.00317177116139344,-0.0468391778173539,0.0528563756910345,3,3,1,1,20
0.131145997553194,0.0804368880100683,0.1815441948561,3,4,1,1,20
0.103993962549356,0.0530090182967371,0.154687350628778,3,5,2,2,20
0.0709347512971517,0.0201770550874722,0.121405379875338,3,6,2,2,20
0.0761188781435213,0.0252807428856333,0.126666228659745,3,7,2,2,20
0.070299453646737,0.0192685964209392,0.12106911316968,3,9,2,2,20
0.0687251429406554,0.0177185253422894,0.119479944944233,3,11,3,3,20
0.0591224055467323,0.00841137895567733,0.109580927014286,3,14,3,3,20
-0.24859776087586,-0.302101584089407,-0.195493726808368,4,2,1,1,20
