,coef,high,low
248,277.7979916073382,277.7979916073382,277.7979916073382
511,147.33014831978107,147.33017205538067,147.33012458418148
314,127.45526834281418,127.49874219269863,127.41179449292973
303,78.66137595105886,84.3198308859221,73.00292101619561
507,77.1234255705951,80.24830586162123,73.99854527956897
343,67.75090344988911,273.17297735240913,-137.67117045263092
68,63.51938422737075,103.14000662177335,23.89876183296814
245,54.23302354658763,64.19105497264464,44.27499212053062
490,28.952858738713957,54.34370163459525,3.5620158428326647
309,27.084752876895934,29.07968507219764,25.089820681594226
381,26.592190219686646,89.57208630978239,-36.38770587040909
286,24.55033730529773,31.04943889796161,18.05123571263385
146,24.07255446827831,41.439509287780155,6.7055996487764595
49,22.75749002001089,27.641458759999704,17.87352128002208
539,21.719849653469375,65.01031241749922,-21.570613110560465
240,19.651364919387163,35.45644523507313,3.8462846037011893
273,19.49864543639003,32.48861755551093,6.508673317269137
529,18.198617518437015,29.269720174142865,7.127514862731164
513,18.166293156694394,19.392922788661103,16.939663524727685
292,17.406485595023092,21.619103164384555,13.19386802566163
313,17.1866575969667,23.2496713054848,11.123643888448601
505,16.340767095789197,22.127989030716467,10.553545160861926
11,15.938851879618776,21.446932345400715,10.430771413836837
483,13.863941868431162,19.648826605336783,8.079057131525541
249,12.698611100770789,14.550952141287432,10.846270060254145
1,12.552101636031376,22.30078521709744,2.803418054965311
374,12.44339981536013,19.760515289499924,5.126284341220338
207,11.982673646771682,15.082369658891029,8.882977634652335
56,11.853668661143796,18.516440824266596,5.1908964980209955
478,11.586642426976772,15.473465769219619,7.6998190847339245
254,11.160080387741473,21.29398627100239,1.0261745044805597
230,11.064630782158591,11.91405747491218,10.215204089405002
384,11.02265763544539,13.191698663772959,8.85361660711782
198,10.93956532921482,12.539617753006834,9.339512905422808
285,10.682263178259852,12.860977357254448,8.503548999265256
38,10.455813035111449,12.121890090994356,8.789735979228542
66,10.24540271917741,14.151842188775625,6.338963249579194
407,10.181741246525116,11.085300319492521,9.27818217355771
326,9.917107973638679,13.082741128590385,6.751474818686972
447,9.908528979477522,10.661650773653768,9.155407185301275
340,9.56788242795802,13.482419946631328,5.653344909284711
250,9.516005780343226,12.076799547679538,6.955212013006914
357,9.377107250077902,12.40424841237767,6.349966087778133
427,9.3042904476367,13.36026415491127,5.248316740362129
203,9.205750730182096,11.7046313698325,6.706870090531693
480,9.195660510470042,10.883028812924561,7.508292208015523
131,9.163051820452349,9.84272247718655,8.483381163718148
176,9.004911155454252,37.592842241852935,-19.583019930944428
420,8.98232415735111,10.42769610575891,7.536952208943309
223,8.934317249275342,10.04683107498398,7.821803423566703
0,8.858411763932255,16.038682348753493,1.678141179111015
437,8.682968715055381,11.679064168980371,5.6868732611303905
296,8.562251656051188,9.554605771461336,7.569897540641041
4,8.552167611515422,10.216706401220346,6.887628821810498
40,8.482611399066512,11.805589252904614,5.159633545228409
137,8.43537665674001,9.742385146061318,7.1283681674187
451,8.382455140682147,14.7530998294482,2.0118104519160944
473,8.300605415276394,10.586663715692602,6.014547114860187
196,8.225150345628954,10.201645821341884,6.248654869916024
25,8.183839480484144,12.07055029930233,4.297128661665958
442,8.139371658631298,10.262512354917414,6.0162309623451815
2,8.083909565567218,9.045296838119635,7.122522293014801
77,8.027250488173776,9.342214616771939,6.712286359575612
431,7.919936549389666,9.05093029435112,6.788942804428212
150,7.866214941148889,9.185194877614608,6.54723500468317
430,7.8314419388491805,8.332984649597027,7.329899228101334
37,7.807114236500894,9.137504046831172,6.476724426170616
145,7.724895983381554,9.662538147018228,5.787253819744881
127,7.457635324216264,11.99811035742237,2.917160291010159
212,7.433162630296484,9.02525252382024,5.841072736772727
464,7.376548734355783,11.43415101256976,3.3189464561418047
465,7.371050054241268,9.974378517308265,4.76772159117427
242,7.345819887725036,10.757465232603016,3.934174542847057
424,7.314000044051587,7.661265061756999,6.966735026346176
347,7.284977793051253,12.4547451254821,2.115210460620405
270,7.28117451189704,8.232930432878142,6.32941859091594
484,7.088562533788291,11.742454986048294,2.4346700815282887
61,7.02657096723785,8.214907173018162,5.838234761457539
475,7.017051367045678,9.795318886304972,4.238783847786383
492,7.008915017137831,10.681689933171397,3.336140101104265
52,7.0042257435441675,8.076180254070335,5.932271233017999
76,6.988843060224498,7.665747354062447,6.31193876638655
7,6.944469619969386,10.20507367753261,3.6838655624061616
441,6.914603273753908,10.078991806827094,3.7502147406807227
276,6.910736039645683,9.110724059163932,4.710748020127434
6,6.907491143024499,9.785175564405787,4.0298067216432125
280,6.883822541564508,7.309613024202537,6.45803205892648
206,6.832244176830844,8.015135859511618,5.64935249415007
152,6.806743001850933,7.903996932559246,5.709489071142619
502,6.7539540739006005,10.28323405583057,3.224674091970631
319,6.667065761849245,8.24499363365248,5.08913789004601
35,6.610018171827213,7.538057802053693,5.681978541600733
13,6.602051831253009,7.719276125186936,5.484827537319082
334,6.589554374286476,9.271409070039736,3.9076996785332163
418,6.584812231583259,7.627710203799241,5.541914259367276
462,6.573744706139198,7.145643730219754,6.001845682058643
421,6.542516907372613,10.310098796585189,2.7749350181600367
233,6.492892463399469,9.217440473839511,3.768344452959427
401,6.486414779734003,6.926633397083044,6.046196162384962
30,6.46739235261089,7.129073069063368,5.805711636158412
144,6.443906182922105,7.461331368550546,5.426480997293664
436,6.4292595182835885,8.568904606107893,4.289614430459285
215,6.409345610124286,7.414016621761685,5.404674598486888
257,6.386470259486686,10.034820913118544,2.738119605854827
391,6.3618033505424325,7.134335899077278,5.589270802007587
244,6.341527411697284,7.260457144633327,5.4225976787612415
83,6.323211199904559,8.40511749135031,4.241304908458807
133,6.193390349651339,7.331501906531619,5.055278792771059
60,6.18390032198791,8.589878430390023,3.7779222135857964
148,6.144129280065108,6.291842649476315,5.9964159106539014
98,6.137506772741238,6.94835024359665,5.3266633018858265
241,6.09998572688966,7.03036451086098,5.16960694291834
512,6.095678096725472,10.622912274408083,1.5684439190428598
231,6.0831489574751725,7.489284861620311,4.677013053330034
65,6.079282000621022,12.790561399178209,-0.631997397936165
100,6.056822553419188,6.329472134340162,5.784172972498214
189,5.961989633532623,6.524249647154234,5.399729619911011
109,5.939445100585804,6.851929881334692,5.026960319836916
438,5.938596431883563,6.3138872459770985,5.563305617790028
501,5.935786973001294,6.687546641742263,5.184027304260325
496,5.8893785313448195,6.644086814301442,5.134670248388197
290,5.812754281215888,6.471801812985441,5.153706749446335
15,5.786452363826003,6.957625233940037,4.615279493711968
253,5.701727382122253,6.393165993286183,5.010288770958323
482,5.694780387846471,9.87210691772784,1.5174538579651022
330,5.671885409218703,6.955971362281397,4.387799456156009
39,5.654824356449521,6.334539459289315,4.975109253609727
122,5.629372728188981,6.858380981575961,4.400364474802001
265,5.622777108849315,6.241358004067043,5.0041962136315865
408,5.597655497724753,6.443619393269225,4.75169160218028
219,5.581612829505302,6.940640558545262,4.222585100465341
294,5.5754443568555985,6.933683570474488,4.217205143236709
224,5.527208095536738,5.971995027088502,5.082421163984975
260,5.501828944829715,5.876493690591373,5.127164199068056
53,5.495271748340533,6.006225658651221,4.984317838029845
387,5.493580469307543,9.960010260832183,1.0271506777829025
170,5.457000770913401,10.357533476788193,0.5564680650386098
392,5.453693042717854,5.648385512852624,5.2590005725830835
393,5.433711210851516,5.626500337144704,5.240922084558329
259,5.415227101403643,6.089751958474743,4.740702244332542
255,5.410140935037785,7.5073824181310504,3.31289945194452
506,5.4019013159647145,6.110538399897034,4.693264232032395
228,5.383104535915228,6.440036484984563,4.326172586845893
428,5.352128973317602,8.367375100825592,2.3368828458096123
256,5.325786092778516,6.365058208126651,4.286513977430381
29,5.325080197125751,6.392207665317029,4.257952728934473
360,5.310821192601657,6.516366110306882,4.105276274896432
101,5.283236796974963,5.978324171071434,4.588149422878492
99,5.272869099282443,6.219397081867566,4.32634111669732
416,5.2684669836755305,6.6488752498083095,3.888058717542751
46,5.251578752782268,5.514066069792863,4.989091435771673
518,5.206267343511697,6.493001806366486,3.9195328806569076
41,5.1931278496435755,6.446230472582444,3.9400252267047073
28,5.1868631911813265,5.382355187016772,4.991371195345881
14,5.181259899731154,5.359138724659028,5.003381074803281
32,5.174159618999002,5.370663479122627,4.977655758875376
62,5.172800599540523,5.467583721028314,4.8780174780527314
209,5.159016689488169,5.843847643200836,4.474185735775502
299,5.154773245379126,7.251469805627983,3.0580766851302696
143,5.149861677918355,5.351322658646917,4.9484006971897925
404,5.134305024860392,5.3021908831547755,4.966419166566009
432,5.111955783884239,5.5111050706648275,4.712806497103651
406,5.105160843381132,5.458291662305755,4.752030024456508
106,5.099421553415335,5.783197328359192,4.415645778471479
222,5.089051085781287,6.02496246902924,4.153139702533335
104,5.081415140419676,5.536619487258044,4.626210793581308
419,5.067995609961489,6.21889446542665,3.9170967544963284
33,5.0659548612353795,5.490858986405239,4.64105073606552
47,5.057915189786346,5.240228725495689,4.875601654077003
440,5.056241537614215,5.719434525506977,4.3930485497214535
132,5.049403414881359,5.762928574970381,4.335878254792338
429,5.044983553801549,8.534668228951066,1.5552988786520308
81,5.023249380536978,8.123573844205824,1.9229249168681317
278,5.0135805154118325,9.229779502595084,0.7973815282285805
243,5.000382881286876,11.236922952973828,-1.2361571904000765
247,4.985887981031887,5.49496795679199,4.476808005271784
216,4.975683012150382,5.418203622173656,4.533162402127108
42,4.975200075556932,6.72623144676793,3.224168704345935
390,4.9576416206404055,5.50821916175344,4.407064079527371
476,4.947238168966783,5.28580865743081,4.608667680502757
368,4.9451828897180174,5.046250996001085,4.84411478343495
369,4.878075176327178,5.046692193982529,4.7094581586718265
36,4.863237495204068,5.699184095693281,4.027290894714855
201,4.862864015619554,5.901268905262848,3.8244591259762597
89,4.832613027260033,6.234969182874822,3.430256871645243
365,4.8015196820510395,4.896825845129792,4.706213518972287
444,4.786876216532271,5.101672673862999,4.472079759201542
72,4.782555855107094,5.7515891224282685,3.8135225877859193
477,4.781616636249039,5.250570925504986,4.312662346993092
349,4.7717648556871755,5.729883581075031,3.81364613029932
156,4.761944764523367,7.58968968028247,1.9341998487642638
16,4.744366273627817,5.067504598075998,4.421227949179635
136,4.738260438101716,5.626763382776195,3.8497574934272376
102,4.7332878576253306,5.015385133034476,4.451190582216185
139,4.710644665053135,5.12426951980808,4.297019810298189
415,4.699247705420516,5.351939045031472,4.046556365809561
197,4.692459338034122,5.527454076120763,3.8574645999474813
