"","date","ZIPS"
"215",2020-06-26,6035
"216",2020-06-24,6025
"217",2020-06-25,6025
"218",2020-06-26,6025
"219",2020-06-27,6025
"220",2020-06-25,6099
"221",2020-06-26,6099
"222",2020-06-25,6079
"223",2020-06-26,6079
"224",2020-06-27,6079
"225",2020-06-28,6079
"226",2020-06-26,6051
"227",2020-06-27,6051
"228",2020-06-28,6051
"229",2020-06-29,6051
"230",2020-06-30,6051
"231",2020-07-01,6051
"232",2020-07-02,6051
"233",2020-06-27,32031
"234",2020-06-28,32031
"235",2020-06-29,32031
"236",2020-06-30,32031
"237",2020-07-01,32031
"238",2020-07-02,32031
"239",2020-07-03,32031
"240",2020-07-04,32031
"241",2020-07-05,32031
"242",2020-07-06,32031
"243",2020-06-28,6085
"244",2020-06-29,6085
"245",2020-06-30,6085
"246",2020-07-01,6085
"247",2020-07-02,6085
"248",2020-07-03,6085
"249",2020-06-28,6079
"250",2020-06-29,6035
"251",2020-06-30,6007
"252",2020-07-01,6007
"253",2020-07-02,6007
"254",2020-07-03,6007
"255",2020-06-30,6105
"256",2020-07-01,6105
"257",2020-07-02,6105
"258",2020-07-03,6105
"259",2020-07-04,6105
"260",2020-07-05,6105
"261",2020-07-06,6105
"262",2020-07-07,6105
"263",2020-07-08,6105
"264",2020-07-09,6105
"265",2020-07-10,6105
"266",2020-07-11,6105
"267",2020-07-12,6105
"268",2020-07-13,6105
"269",2020-07-14,6105
"270",2020-07-15,6105
"271",2020-07-16,6105
"272",2020-07-17,6105
"273",2020-07-18,6105
"274",2020-07-19,6105
"275",2020-07-20,6105
"276",2020-07-21,6105
"277",2020-07-22,6105
"278",2020-07-23,6105
"279",2020-07-24,6105
"280",2020-07-01,6029
"281",2020-07-02,6029
"282",2020-07-03,6029
"283",2020-07-01,6037
"284",2020-07-02,6037
"285",2020-07-03,6037
"286",2020-07-04,6037
"287",2020-07-05,6037
"288",2020-07-02,6039
"289",2020-07-03,6039
"290",2020-07-03,6079
"291",2020-07-04,6079
"292",2020-07-05,6079
"293",2020-07-03,6071
"294",2020-07-04,6071
"295",2020-07-05,6071
"296",2020-07-06,6071
"297",2020-07-04,6001
"298",2020-07-05,6001
"299",2020-07-05,6085
"300",2020-07-06,6085
"301",2020-07-05,6085
"302",2020-07-06,6085
"303",2020-07-07,6085
"304",2020-07-08,6085
"305",2020-07-09,6085
"306",2020-07-10,6085
"307",2020-07-11,6085
"308",2020-07-12,6085
"309",2020-07-13,6085
"310",2020-07-05,6037
"311",2020-07-06,6037
"312",2020-07-07,6037
"313",2020-07-08,6037
"314",2020-07-09,6037
"315",2020-07-10,6037
"316",2020-07-06,6077
"317",2020-07-06,6095
"318",2020-07-07,6095
"319",2020-07-08,6095
"320",2020-07-09,6095
"321",2020-07-07,6011
"322",2020-07-08,6011
"323",2020-07-09,6011
"324",2020-07-09,6065
"325",2020-07-11,6085
"326",2020-07-11,6039
"327",2020-07-12,6039
"328",2020-07-13,6039
"329",2020-07-14,6039
"330",2020-07-15,6039
"331",2020-07-13,6065
"332",2020-07-13,6007
"333",2020-07-14,6007
"334",2020-07-15,6007
"335",2020-07-13,6065
"336",2020-07-14,6065
"337",2020-07-15,6065
"338",2020-07-13,6019
"339",2020-07-14,6019
"340",2020-07-15,6019
"341",2020-07-16,6019
"342",2020-07-17,6019
"343",2020-07-18,6019
"344",2020-07-19,6019
"345",2020-07-20,6019
