GEOID,tmmx,rmax,sph,date
53059,15.659899097460709,92.57545676245635,0.007885711275949774,2020-10-18
53011,19.0577746199412,94.43013879162041,0.008456175173033759,2020-10-18
53075,12.363246668241118,93.31043940013993,0.006282175795188264,2020-10-18
53069,16.906800822811476,98.8045770366728,0.008494875850955427,2020-10-18
53031,14.520290347319872,94.66911102542021,0.007411097381823118,2020-10-18
53047,11.576513549236779,99.9453513761439,0.005585202658247115,2020-10-18
53019,6.43597196296372,100.00000000000004,0.005795545516138754,2020-10-18
53043,12.158585840055707,99.9997176561253,0.006073308441184924,2020-10-18
53023,14.794811247200812,93.2889153152303,0.006322892197079295,2020-10-18
53049,16.068165881010316,95.79273216112756,0.008456726234548333,2020-10-18
53039,15.56585698276524,83.51093413193162,0.0069267710211180725,2020-10-18
53055,13.093596936905385,90.11418087109752,0.006883774807207266,2020-10-18
53027,16.243036049027523,94.2748906625676,0.008227386678151698,2020-10-18
53073,12.321090002544793,95.92003665768438,0.006892838449931104,2020-10-18
53037,18.152964925445644,86.32444712630671,0.006164607901533087,2020-10-18
53005,21.367200081240412,79.77748779750283,0.0064840591827415636,2020-10-18
53021,21.26416870997582,78.61706115915999,0.00656402713324259,2020-10-18
53003,15.746871769729978,93.57663015922873,0.006426051235429019,2020-10-18
53009,13.86552210085631,97.82015437944561,0.007758031161664993,2020-10-18
53013,16.00037472553771,84.42397174294322,0.006592930405272965,2020-10-18
53071,19.341026939704875,72.82615436987028,0.006435874156194345,2020-10-18
53007,16.54260930692027,97.61179285025321,0.006114605194267535,2020-10-18
53017,16.66862226469442,98.73588930235792,0.006179190453565187,2020-10-18
53077,21.951246617518166,98.58156901125943,0.0064950297150345076,2020-10-18
06075,26.344253645370486,83.73353172680399,0.007598728068336728,2020-10-18
06055,34.90000446217135,56.36957093568089,0.004723663033930924,2020-10-17
06041,32.935996531555304,62.81467680836572,0.0055811506032806685,2020-10-17
06013,33.730621594165825,52.42644002079347,0.004732434485357791,2020-10-17
06081,31.33477036145848,54.77837971245685,0.005574285020687296,2020-10-17
06001,32.648386764602435,49.15160801919791,0.005081087099363466,2020-10-17
06069,34.9811181690726,61.06395435844971,0.005464168152093752,2020-10-17
06085,34.14350226185519,48.07913666751423,0.004739988608443138,2020-10-17
06087,32.82518655144196,62.64626807651344,0.005799190591210779,2020-10-17
06097,35.64890953328188,65.02154843048787,0.005471928015626836,2020-10-17
06077,33.878160353454234,57.34852343207746,0.004529951544329461,2020-10-17
06095,34.68868007538424,53.35329613472316,0.0045188189929815,2020-10-17
06031,33.07226034309679,55.86385088728943,0.005272917818835948,2020-10-17
06107,32.168121181915865,51.691349633073735,0.005177949692199887,2020-10-17
06103,35.5861982939748,46.1576600245126,0.0045240724348547725,2020-10-17
06089,34.86909594306047,50.35681936825334,0.004890389577569274,2020-10-17
06067,32.88148139819009,51.61124500151597,0.004274518784000773,2020-10-17
06061,32.36381297468995,46.59135467199,0.004005354262378359,2020-10-17
06017,30.654826080940154,38.18947425086373,0.0034393915658993785,2020-10-17
06113,33.69797548412424,51.69020538513847,0.004239068342816714,2020-10-17
06057,30.12315558709855,39.8085898656893,0.0033319978315921204,2020-10-17
06115,32.991116959358976,48.44012101176122,0.004098335341734153,2020-10-17
06101,33.3642205166575,51.144970678980734,0.004167967513784686,2020-10-17
06091,26.320777460636407,66.03542465987064,0.003505998213632934,2020-10-17
06009,32.17355289163629,39.37458547166773,0.004020296173202524,2020-10-17
06043,30.716257410786113,38.77947074203333,0.00406021940729786,2020-10-17
06105,29.661515878423813,48.677587445799745,0.005029714046702735,2020-10-17
06027,29.75910305629958,42.100951187099156,0.0026329692542181315,2020-10-17
06051,23.650948842599746,51.10206052396302,0.0024914844649440698,2020-10-17
06003,24.472950970812406,44.00368542315185,0.002560028443199329,2020-10-17
06011,34.69115189304381,47.1668556147659,0.004132992754576293,2020-10-17
06049,23.204480241170415,95.98505544306701,0.005582347275854823,2020-10-17
06063,26.822489826055687,73.52789643896558,0.0037528511920489156,2020-10-17
06093,25.26006460431273,77.89224866601039,0.0056214701202860155,2020-10-17
06021,34.813956053776906,42.28373936926757,0.004605739630797718,2020-10-17
06005,32.227887102254215,35.38351125308857,0.003818492866364201,2020-10-17
06029,32.464771928106416,44.33807236799255,0.004565422885988989,2020-10-17
06007,32.82515944498715,42.461929275524334,0.004397823468213643,2020-10-17
06033,34.20492166637223,47.97143381468066,0.004269947309552211,2020-10-17
06015,20.079518712183813,94.63760807154273,0.008386194232545803,2020-10-17
06025,38.61877255668503,25.86697124408567,0.002302217253015475,2020-10-17
06023,21.434240798172027,95.37483847202289,0.007759172630236491,2020-10-17
06053,32.43313470700423,73.15004426462383,0.006533594468177158,2020-10-17
06073,29.036037873363625,94.77218110619687,0.010128078308636696,2020-10-17
06079,30.964313908687927,86.21370043645932,0.0068727467289585046,2020-10-17
06083,29.26860024936167,82.03741282778772,0.00766958018006233,2020-10-17
06109,31.152148135800303,35.35799006537117,0.003742455472804006,2020-10-17
06035,25.958133580341382,76.29871098497878,0.004003957197855129,2020-10-17
06045,32.60985651608877,63.756574051494766,0.005185652017378,2020-10-17
06037,30.681015401657646,71.94656501338348,0.00877047258670242,2020-10-17
06059,28.781119392223275,84.26017001627608,0.00993001641117403,2020-10-17
06111,28.566024607798397,63.03603314931665,0.006628940090333504,2020-10-17
06071,33.74554711617071,36.18110777039527,0.0039713043683578374,2020-10-17
06065,35.38319471259888,40.296918516194324,0.004268127775053504,2020-10-17
06047,33.06835236652097,61.92331796619729,0.005272927608121062,2020-10-17
06099,32.80771953655335,55.74580737133339,0.004738356450668639,2020-10-17
06019,32.68331669351596,50.44665210063916,0.005359799246546016,2020-10-17
06039,32.185640600084696,53.99923861539688,0.005408431247624151,2020-10-17
41043,19.61313845058288,99.25730242721585,0.00837693225371539,2020-10-17
41003,19.805045076578267,98.86018586400532,0.008320865581366896,2020-10-17
41005,18.02657311740478,92.42743233189411,0.008659264291252139,2020-10-17
41051,18.164901860688644,93.92642835414146,0.00869619914640392,2020-10-17
41009,17.59585802181107,99.95921190452083,0.008033408749990497,2020-10-17
41067,18.774827213680737,99.3011241375686,0.008488645550719723,2020-10-17
41071,18.925528079560763,99.2157113538715,0.008218214575542717,2020-10-17
41047,18.688138648216466,97.83020841524798,0.008441367112219406,2020-10-17
41053,18.933248216038862,99.69775514882373,0.008393784837179213,2020-10-17
41017,20.34463533277875,79.54413213269397,0.005036764461244651,2020-10-17
41013,20.536247518240145,90.59279272076678,0.005346044394392194,2020-10-17
41045,22.861599007334632,76.53400657647707,0.005049569447202794,2020-10-17
41033,25.933268315987846,97.04309553253756,0.00661346236004026,2020-10-17
41029,25.289260297339126,99.08407953280194,0.006553237358351865,2020-10-17
41063,16.214865319686623,74.07420900063748,0.005703482448283288,2020-10-17
41001,19.030869183258517,77.9286757537964,0.005657003815358143,2020-10-17
41023,18.134193634871963,85.97234284816075,0.005506974822996126,2020-10-17
41037,22.096296512011975,97.46353521537547,0.005245780721907081,2020-10-17
41069,19.6081282251576,86.83497823807998,0.00627051750893555,2020-10-17
41057,16.054135577906607,98.70682242199956,0.0076327835243503225,2020-10-17
41025,19.858911445213437,85.46317690990723,0.0048579635938195,2020-10-17
41021,18.4038848597134,81.57405544477012,0.00692595594967704,2020-10-17
41031,20.466987908206647,83.74064770843762,0.0059387820269389945,2020-10-17
41055,19.073011049314232,84.06143125736972,0.007112742138477753,2020-10-17
41007,15.388087257551206,99.581644818655,0.007536788123835277,2020-10-17
41015,23.87047434249746,85.97959575174151,0.008108524424502932,2020-10-17
41011,18.40033259865396,99.98561352308674,0.008512158555395274,2020-10-17
41039,19.99003324563455,99.82484094623636,0.008454939273578627,2020-10-17
41049,20.32098760276176,77.86392894386144,0.006998311042529861,2020-10-17
41059,19.203447118858662,73.16193892344337,0.006741767754427933,2020-10-17
41027,16.964541780255104,86.23613848476808,0.0077818718721814365,2020-10-17
41035,22.918698528207244,98.57411489488382,0.0054001823420690796,2020-10-17
41061,15.927626226871268,70.68551677352188,0.005924540566204985,2020-10-17
41041,16.677754443386107,99.84514881878307,0.008120644414956215,2020-10-17
41019,21.419761083139292,99.29648069852482,0.007713577498985296,2020-10-17
41065,18.695571257617416,80.00169895792504,0.007275168916859814,2020-10-17
53035,12.999834448839977,91.7330274238536,0.0073321482715463316,2020-10-17
53041,16.179766677322903,97.4294894316788,0.007270567340271645,2020-10-17
53057,14.200565577919747,97.92581871199013,0.0070468643567638874,2020-10-17
53029,13.886786510063189,93.24829821086337,0.007136883560478433,2020-10-17
53067,15.245759414064707,90.94046692189546,0.007357711687924629,2020-10-17
53061,13.40684903511243,98.94899050335064,0.0076430449135269,2020-10-17
53053,14.370103394296905,89.80787139753363,0.007427022663892429,2020-10-17
53033,13.586122249177606,93.92405771974954,0.007680844091165853,2020-10-17
53045,14.662047899177878,93.19158844277621,0.007295494515048697,2020-10-17
53063,14.703355062338858,98.32804002395027,0.00598352254086336,2020-10-17
53065,12.694942951092173,99.88932774043126,0.005490890227770356,2020-10-17
53051,12.13046820142705,99.99043790157428,0.005480333347722726,2020-10-17
53025,17.450458397006344,83.34708502702253,0.005663857514341975,2020-10-17
53001,17.05190364184051,86.46030178786384,0.006088657014471273,2020-10-17
53015,16.725207919124614,99.92255054667433,0.007742348399863868,2020-10-17
53059,16.29792645432849,90.79802230958268,0.00781345763075234,2020-10-17
53011,17.504210668560688,99.63515524925761,0.008527656185930054,2020-10-17
53075,14.57068790882198,92.49898635424488,0.006556206496564958,2020-10-17
53069,15.79151732333105,98.22161575810287,0.007173031319571056,2020-10-17
53031,13.340116169756243,90.71437766630346,0.006717342225262546,2020-10-17
53047,13.202662495182153,87.35360172204008,0.004931825597508683,2020-10-17
53019,10.265842845086127,99.20404222449999,0.005112698347617077,2020-10-17
53043,14.735029609870537,96.71317423176414,0.005501396176386829,2020-10-17
53023,15.63975904169962,94.30742044875325,0.006589465361509894,2020-10-17
53049,15.062213872383609,99.16449641441959,0.00734238608227764,2020-10-17
53039,16.754660715805585,83.38150753041255,0.006602034926303169,2020-10-17
53055,13.442611919577587,99.70699961488357,0.007126275253589356,2020-10-17
53027,14.986517318401468,95.75506257659202,0.007159363790231035,2020-10-17
53073,13.557574922835386,99.99078289854705,0.007268388767612956,2020-10-17
53037,15.654290691619906,74.73814158221194,0.005438256297194216,2020-10-17
53005,19.257052825699702,78.62499122818474,0.006714466488681677,2020-10-17
53021,19.242713687269713,81.3904665788504,0.006866093516707851,2020-10-17
53003,18.745621159565417,83.68037659107439,0.0066421692969175945,2020-10-17
53009,13.21751949330428,86.91113443629284,0.006292255253000626,2020-10-17
53013,16.055425738741235,92.97200017305727,0.006873025207942032,2020-10-17
53071,18.147668239214738,78.72281013749786,0.006813783027319329,2020-10-17
53007,17.396645118915046,82.93935823832358,0.005279077029595307,2020-10-17
53017,17.504808273096103,81.8071325158012,0.005319707563961969,2020-10-17
53077,19.591641058622486,86.45673134204674,0.00591836764804818,2020-10-17
06075,28.912314662892015,61.26989635670604,0.0064470667301990015,2020-10-17
06055,34.969366452996326,39.85956646936586,0.0033270608456126742,2020-10-16
06041,33.95017382625315,42.26839507374622,0.003964099132150118,2020-10-16
06013,33.45740084710809,34.537195134393144,0.003361930101544196,2020-10-16
06081,33.44583546026013,43.30300758099693,0.004651550802763046,2020-10-16
06001,32.11995616177387,35.15099965017049,0.0038397550181299266,2020-10-16
06069,35.23754989195237,44.8004873001981,0.004398152421434647,2020-10-16
06085,33.760826058103476,38.67901410535318,0.0038438730982185898,2020-10-16
06087,33.94953131930396,44.756570135187374,0.004707021644696792,2020-10-16
06097,36.111533965486046,46.45760813092785,0.0038686828216723313,2020-10-16
06077,33.41212858581355,42.17457285229868,0.0034643460418674224,2020-10-16
06095,34.58487021820844,36.707395236637694,0.003198539039024251,2020-10-16
06031,32.15326175698499,51.42653141639214,0.004819204913496523,2020-10-16
06107,31.568271429001072,47.84204727264932,0.00478313267636411,2020-10-16
06103,36.273882692912196,28.48200413538535,0.0032296796907043596,2020-10-16
06089,34.76223708076657,31.26455399104874,0.0034048247012449617,2020-10-16
06067,33.603598464524794,38.04166565934185,0.003207697688723679,2020-10-16
06061,32.71758598499986,37.3195866146947,0.0030838841509678054,2020-10-16
06017,30.018813471425233,34.98616212296825,0.0029835259281309075,2020-10-16
06113,34.222068204138736,37.50096000693104,0.0031492153837495603,2020-10-16
06057,30.087141624959713,32.097229607437725,0.0026332058860612222,2020-10-16
06115,34.362736206671514,34.90715408896542,0.0030831690621214818,2020-10-16
06101,34.62845943198516,35.97195618834284,0.0031310636416467374,2020-10-16
06091,22.6310118850173,50.1831101879344,0.0025212539325571263,2020-10-16
06009,32.103356604414614,34.697088548516234,0.0035259704709294753,2020-10-16
