"FIPS","date","cases","cumu_cases","deaths","cumu_deaths","population","pm25","Long","Lat","pr","tmmx","srad","sph","rmax","dayofweek","date_str","date_num","fireday"
"06061","2020-03-15",0,8,0,1,398329,2.31923076923077,-120.916645,38.9756824990772,43.31294643,277.2866071,124.1625,0.00457317,96.08660714,"Sunday",2020-03-15,0,0
"06063","2020-03-15",0,0,0,0,18807,9.09230769230769,-120.884821666667,40.0157109990708,29.94745763,273.948184,133.0697337,0.003515763,97.9779661,"Sunday",2020-03-15,0,0
"06065","2020-03-15",6,14,0,0,2470546,4.11923076923077,-116.799396,33.7939604991275,0.066728111,291.5094009,235.9580645,0.00699129,94.89861751,"Sunday",2020-03-15,0,0
"06067","2020-03-15",3,32,0,1,1552058,1.29807692307693,-121.3732715,38.4948274990806,19.01103896,285.511039,152.8519481,0.006013247,93.95844156,"Sunday",2020-03-15,0,0
"06069","2020-03-15",0,3,0,0,62808,2.05,-121.3621,36.8434249990943,21.78421053,283.5698565,157.376555,0.005117177,77.27416268,"Sunday",2020-03-15,0,0
"06071","2020-03-15",1,1,0,0,2180085,3.25769230769231,-117.408973666667,34.2859156657881,0.003844845,290.0375978,239.4835999,0.006259728,91.65440626,"Sunday",2020-03-15,0,0
"06073","2020-03-15",31,39,0,0,3338330,5.85192307692308,-116.94617475,32.7303489991413,0.040561622,287.9201248,205.3678627,0.007317348,97.55943838,"Sunday",2020-03-15,0,0
"06075","2020-03-15",9,37,0,0,881549,3.07692307692308,-122.3978,37.7657999990863,4.242105263,285.9052632,159.7315789,0.005220526,77.00526316,"Sunday",2020-03-15,0,0
"06077","2020-03-15",0,8,0,0,762148,2.06538461538462,-121.354785,37.8166249990859,15.45437788,286.7465438,151.7069124,0.006082627,95.15391705,"Sunday",2020-03-15,0,0
"06079","2020-03-15",0,0,0,0,283111,4.63653846153847,-120.62179075,35.2046539991109,22.90895522,285.8714552,163.4401119,0.005832854,77.09981343,"Sunday",2020-03-15,0,0
"06081","2020-03-15",0,32,1,1,766573,1.95384615384615,-122.2022,37.4827999990887,12.10285714,284.9304762,140.3619048,0.005190381,84.04095238,"Sunday",2020-03-15,0,0
"06083","2020-03-15",1,1,0,0,446499,2.66153846153846,-120.10275525,34.6134302491176,16.03460076,286.7243346,179.2960076,0.005864087,82.32889734,"Sunday",2020-03-15,0,0
"06085","2020-03-15",32,255,1,5,1927852,3.28076923076923,-121.773092,37.2286909990909,26.68181818,283.080303,134.4489899,0.005195,91.79848485,"Sunday",2020-03-15,0,0
"06087","2020-03-15",0,7,0,0,273213,2.26923076923077,-121.942688333333,36.9848243324263,23.41860465,284.6174419,133.4488372,0.005459651,88.94767442,"Sunday",2020-03-15,0,0
"06089","2020-03-15",0,1,0,0,180080,3.61153846153847,-122.3385,40.5013999990681,18.81694352,277.7687708,138.6845515,0.003547824,91.11644518,"Sunday",2020-03-15,0,0
"06091","2020-03-15",0,0,0,0,3005,NA,NA,NA,44.10993377,274.2715232,135.7556291,0.003627881,95.76622517,"Sunday",2020-03-15,0,0
"06093","2020-03-15",0,0,0,0,43539,NA,NA,NA,7.313339825,276.1028238,167.1408958,0.002998783,94.43631938,"Sunday",2020-03-15,0,0
"06095","2020-03-15",1,7,0,0,447643,2.42307692307692,-121.968438666667,38.2144656657494,9.986524823,286.1524823,167.7730496,0.005308298,83.79078014,"Sunday",2020-03-15,0,0
"06097","2020-03-15",2,5,0,0,494336,2.38076923076923,-122.818294,38.4037649990813,3.666914498,284.3855019,157.9364312,0.004744126,91.12193309,"Sunday",2020-03-15,0,0
"06099","2020-03-15",0,2,0,0,550660,2.33461538461538,-120.915006,37.565232499088,23.33362832,285.8743363,135.8376106,0.006061814,96.50619469,"Sunday",2020-03-15,0,0
"06101","2020-03-15",0,0,0,0,96971,1.65,-121.61884,39.1386799990761,9.493478261,285.7619565,154.9347826,0.00561913,87.76630435,"Sunday",2020-03-15,0,0
"06103","2020-03-15",0,0,0,0,65084,2.36538461538462,-122.255667,40.1709169990699,9.192077088,280.5543897,159.935546,0.004037773,85.39164882,"Sunday",2020-03-15,0,0
"06105","2020-03-15",0,0,0,0,12285,6.34615384615385,-122.941109,40.734721999067,9.050389105,276.5398833,136.6038911,0.003172062,93.32626459,"Sunday",2020-03-15,0,0
"06107","2020-03-15",0,2,0,0,466195,2.92307692307692,-119.057615666667,36.284606332433,2.020798898,283.607989,182.8732782,0.004875124,84.56460055,"Sunday",2020-03-15,0,0
"06109","2020-03-15",0,0,0,0,54478,NA,NA,NA,47.06389685,276.0452722,127.139255,0.004067307,87.13438395,"Sunday",2020-03-15,0,0
"06111","2020-03-15",0,4,0,0,846006,2.44038461538462,-118.89887,34.3347074991208,4.872390572,284.7680135,183.0457912,0.005937306,88.2956229,"Sunday",2020-03-15,0,0
"06113","2020-03-15",0,2,0,0,220500,2.84423076923077,-121.7506,38.5982249990798,11.77974684,285.6297468,156.8892405,0.005223608,88.39367089,"Sunday",2020-03-15,0,0
"06115","2020-03-15",0,0,0,0,78668,NA,NA,NA,23.97171717,282.2838384,120.8141414,0.005285556,94.74646465,"Sunday",2020-03-15,0,0
"41001","2020-03-15",0,0,0,0,16124,5.77307692307692,-117.8446,44.7882199990568,3.915442561,277.4020716,144.2037665,0.003499736,91.30357815,"Sunday",2020-03-15,0,0
"41003","2020-03-15",0,0,0,0,93053,2.84615384615385,-123.2673,44.5883999990568,0.131428571,283.3209524,217.107619,0.003716476,95.55904762,"Sunday",2020-03-15,0,0
"41005","2020-03-15",0,1,0,0,418187,NA,NA,NA,0.268307692,274.9990769,176.7341538,0.002820585,90.03476923,"Sunday",2020-03-15,0,0
"41007","2020-03-15",0,0,0,0,40224,NA,NA,NA,0,282.0350282,186.6949153,0.003058079,85.25084746,"Sunday",2020-03-15,0,0
"41009","2020-03-15",0,0,0,0,52354,3.48846153846154,-122.7721,45.7685309990572,0,282.1067797,182.809322,0.002832797,86.58220339,"Sunday",2020-03-15,0,0
"41011","2020-03-15",0,0,0,0,64487,NA,NA,NA,4.81722973,282.2875,157.8875,0.00437402,99.93648649,"Sunday",2020-03-15,0,0
"41013","2020-03-15",0,0,0,0,24404,4.22692307692308,-120.844773,44.299786999057,1.475311203,271.8634855,115.7852697,0.003090685,99.90518672,"Sunday",2020-03-15,0,0
"41015","2020-03-15",0,0,0,0,22925,NA,NA,NA,2.655844156,280.737987,140.7564935,0.003969156,97.00909091,"Sunday",2020-03-15,0,0
"41017","2020-03-15",1,4,0,0,197692,4.10961538461538,-121.434027,44.1780079990571,2.826069246,267.7659878,123.3364562,0.002796986,99.98391039,"Sunday",2020-03-15,0,0
"41019","2020-03-15",0,1,0,0,110980,4.63461538461539,-123.36479,43.2265999990585,6.091200951,280.6444709,154.5388823,0.003673829,97.14720571,"Sunday",2020-03-15,0,0
"41021","2020-03-15",0,0,0,0,1912,NA,NA,NA,0.358962264,273.2863208,110.4377358,0.002373302,83.39764151,"Sunday",2020-03-15,0,0
"41023","2020-03-15",0,0,0,0,7199,4.42692307692308,-118.951302,44.4179989990569,5.317801047,275.026178,139.4221204,0.003242657,98.5104712,"Sunday",2020-03-15,0,0
"41025","2020-03-15",0,0,0,0,7393,5.76923076923077,-119.048302,43.5892499990578,6.698751486,276.9282402,147.8143876,0.003713181,98.92372176,"Sunday",2020-03-15,0,0
"41027","2020-03-15",0,0,0,0,23382,NA,NA,NA,0.62,270.8822222,161.1566667,0.002463222,90.59,"Sunday",2020-03-15,0,0
"41029","2020-03-15",0,2,0,0,220944,4.91153846153846,-122.799674666667,42.3829583323939,4.252051836,277.4088553,156.637149,0.003100065,92.19632829,"Sunday",2020-03-15,0,0
"41031","2020-03-15",0,0,0,0,24658,4.67692307692308,-121.131599,44.6305999990568,1.440615385,269.2166154,136.9378462,0.002576215,97.75815385,"Sunday",2020-03-15,0,0
"41033","2020-03-15",0,0,0,0,87487,5.21153846153846,-123.409638666667,42.2953143323941,5.664092664,279.1505792,161.5393822,0.003407568,91.15907336,"Sunday",2020-03-15,0,0
"41035","2020-03-15",0,1,0,0,68238,NA,NA,NA,3.626418787,273.2744618,170.5472603,0.002875538,97.19412916,"Sunday",2020-03-15,0,0
"41037","2020-03-15",0,0,0,0,7869,3.73846153846154,-120.353969,42.1892149990612,4.954698972,273.7755507,147.4320852,0.003147034,97.65058737,"Sunday",2020-03-15,0,0
"41039","2020-03-15",0,0,0,0,382067,4.26730769230769,-122.982988666667,43.9666443323907,0.41716792,280.1121554,177.8394737,0.003585602,98.53822055,"Sunday",2020-03-15,0,0
"41041","2020-03-15",0,0,0,0,49962,NA,NA,NA,0.025906736,283.7528497,223.2471503,0.003925285,97.39896373,"Sunday",2020-03-15,0,0
"41043","2020-03-15",1,10,0,0,129749,2.76538461538462,-122.813001666667,44.5967443323902,0.304336735,277.6311224,171.3785714,0.003273776,96.86326531,"Sunday",2020-03-15,0,0
"41045","2020-03-15",0,0,0,0,30571,NA,NA,NA,5.883150183,281.3431013,147.6200855,0.004245714,97.15671551,"Sunday",2020-03-15,0,0
"41047","2020-03-15",0,2,0,0,347818,4.95384615384615,-123.005934,44.9431139990568,0.141624365,277.5903553,170.1507614,0.003209898,92.58172589,"Sunday",2020-03-15,0,0
"41049","2020-03-15",0,0,0,0,11603,NA,NA,NA,0.783630952,273.4681548,124.2875,0.002493065,88.91904762,"Sunday",2020-03-15,0,0
"41051","2020-03-15",0,1,0,1,812855,3.21153846153846,-122.602877,45.4966409990569,0.194805195,278.6506494,182.774026,0.002987922,79.6,"Sunday",2020-03-15,0,0
"41053","2020-03-15",0,1,0,0,86085,NA,NA,NA,0.283088235,281.6022059,203.0029412,0.003459632,91.55808824,"Sunday",2020-03-15,0,0
"41055","2020-03-15",0,0,0,0,1780,NA,NA,NA,0.111347518,272.4978723,130.1184397,0.002348723,81.27163121,"Sunday",2020-03-15,0,0
"41057","2020-03-15",0,0,0,0,27036,NA,NA,NA,0,280.8646018,202.5362832,0.003322699,91.31504425,"Sunday",2020-03-15,0,0
"41059","2020-03-15",0,2,0,0,77950,4.5,-118.823033,45.6522309990571,0.758156028,273.5583333,150.9281915,0.002681117,92.02819149,"Sunday",2020-03-15,0,0
"41061","2020-03-15",0,0,0,0,26835,4.53846153846154,-118.0778,45.3234999990569,1.380174927,275.1720117,156.5653061,0.002949184,92.07667638,"Sunday",2020-03-15,0,0
"41063","2020-03-15",0,0,0,0,7208,2.99230769230769,-117.296066,45.4263509990569,0.623853211,276.4825688,173.4981651,0.00290178,88.24238532,"Sunday",2020-03-15,0,0
"41065","2020-03-15",0,0,0,0,26682,4.45,-121.203387,45.602418999057,0.578855721,270.649005,142.4099502,0.002473408,91.51542289,"Sunday",2020-03-15,0,0
"41067","2020-03-15",0,13,0,0,601592,3.47692307692308,-122.844599333333,45.4659536657236,0.002272727,280.519697,188.0689394,0.003183561,89.28863636,"Sunday",2020-03-15,0,0
"41069","2020-03-15",0,0,0,0,1332,NA,NA,NA,2.546822742,271.9498328,113.2795987,0.002869231,99.63177258,"Sunday",2020-03-15,0,0
"41071","2020-03-15",1,1,0,0,107100,NA,NA,NA,0.005217391,281.1756522,201.4095652,0.003412957,89.34695652,"Sunday",2020-03-15,0,0
"53001","2020-03-15",0,0,0,0,19983,3.14615384615385,-118.381897,47.1279979990595,0,277.5692771,167.3228916,0.001940572,73.24548193,"Sunday",2020-03-15,0,0
"53003","2020-03-15",0,0,0,0,22582,6.07307692307692,-117.059799,46.425597999058,0.022018349,275.3522936,177.6412844,0.003113028,97.69266055,"Sunday",2020-03-15,0,0
"53005","2020-03-15",0,0,0,0,204390,3.98846153846154,-119.2015,46.2182999990577,0.002265372,277.6032362,142.6161812,0.002112718,70.34466019,"Sunday",2020-03-15,0,0
"53007","2020-03-15",0,0,0,0,77200,4.51923076923077,-120.343236666667,47.6226733323942,0.070871985,275.3153989,211.8153989,0.001982356,96.7812616,"Sunday",2020-03-15,0,0
"53009","2020-03-15",0,0,0,0,77331,2.7,-124.22226,48.2559193323964,0.012776413,279.4063882,238.8538084,0.002769459,85.06216216,"Sunday",2020-03-15,0,0
"53011","2020-03-15",0,3,0,0,488241,2.97307692307692,-122.4991295,45.7536294990571,0.204347826,280.02,188.6956522,0.002991391,86.22434783,"Sunday",2020-03-15,0,0
"53013","2020-03-15",0,1,0,0,3985,5.51153846153846,-117.985,46.3179999990578,0.34966443,274.3214765,171.0691275,0.002750738,93.27516779,"Sunday",2020-03-15,0,0
"53015","2020-03-15",0,0,0,0,110593,4.41538461538462,-122.9619,46.1393999990576,0,280.9091837,194.677551,0.002575663,81.01785714,"Sunday",2020-03-15,0,0
"53017","2020-03-15",0,0,0,0,43429,NA,NA,NA,0,276.1109091,196.6963636,0.001858455,79.41939394,"Sunday",2020-03-15,0,0
"53019","2020-03-15",0,0,0,0,7627,NA,NA,NA,0.313613861,277.0371287,201.0064356,0.001770644,92.29183168,"Sunday",2020-03-15,0,0
"53021","2020-03-15",0,0,0,0,95222,1.9,-119.0021,46.5753999990583,0.174347826,278.383913,155.1395652,0.002096522,73.39,"Sunday",2020-03-15,0,0
"53023","2020-03-15",0,0,0,0,2225,NA,NA,NA,0.110852713,274.9426357,172.1612403,0.002861008,96.11162791,"Sunday",2020-03-15,0,0
"53025","2020-03-15",0,2,0,1,97733,3.10961538461539,-119.559275,47.1857799990596,0,278.263147,170.5341615,0.00178058,64.30414079,"Sunday",2020-03-15,0,0
"53027","2020-03-15",0,1,0,0,75061,2.61730769230769,-124.0617505,47.1585009990596,0,283.201292,232.7059432,0.002989612,85.74134367,"Sunday",2020-03-15,0,0
"53029","2020-03-15",0,6,0,0,85141,2.35769230769231,-122.660004,48.2943989990632,0,281.6462366,195.988172,0.002867204,80.22473118,"Sunday",2020-03-15,0,0
"53031","2020-03-15",2,3,0,0,32221,4.00769230769231,-122.7789,48.1291009990626,0.296354167,279.0817708,234.4161458,0.00275263,89.29088542,"Sunday",2020-03-15,0,0
"53033","2020-03-15",33,420,2,37,2252782,4.65769230769231,-122.221780333333,47.5540544435051,0,278.7368545,220.292723,0.002560775,82.96056338,"Sunday",2020-03-15,0,0
"53035","2020-03-15",0,3,0,0,271473,5.44230769230769,-122.627397,47.5926749990608,0,281.3367347,218.1306122,0.002879796,76.49591837,"Sunday",2020-03-15,0,0
"53037","2020-03-15",0,3,0,0,47935,3.76538461538462,-120.545,46.9935999990592,0.214536341,275.547619,171.7661654,0.001958095,88.5924812,"Sunday",2020-03-15,0,0
"53039","2020-03-15",0,0,0,0,22425,NA,NA,NA,0.905471125,273.0717325,142.5613982,0.002240881,80.15379939,"Sunday",2020-03-15,0,0
"53041","2020-03-15",0,0,0,0,80707,4.77307692307692,-122.967323,46.6640889990585,0.195862069,279.9450575,196.7310345,0.002535632,83.19678161,"Sunday",2020-03-15,0,0
"53043","2020-03-15",1,1,0,0,10939,NA,NA,NA,0,276.9978873,189.6687793,0.001925446,78.0685446,"Sunday",2020-03-15,0,0
"53045","2020-03-15",0,0,0,0,66768,3.77307692307692,-123.100807,47.2135509990597,0,281.0696629,231.4365169,0.002864663,84.13426966,"Sunday",2020-03-15,0,0
"53047","2020-03-15",0,0,0,0,42243,4.46923076923077,-119.938222333333,48.410442332397,0.029610656,274.6052254,207.139959,0.00181582,93.1482582,"Sunday",2020-03-15,0,0
"53049","2020-03-15",0,0,0,0,22471,5.53076923076923,-123.731764,46.6882179990585,0,283.0210784,197.8303922,0.003035882,87.41617647,"Sunday",2020-03-15,0,0
"53051","2020-03-15",0,0,0,0,13724,NA,NA,NA,0.271595331,279.5241245,198.4673152,0.001865525,99.76770428,"Sunday",2020-03-15,0,0
"53053","2020-03-15",3,29,0,0,904980,4.09807692307692,-122.3998155,47.2047097490597,0.003459119,278.4396226,205.5487421,0.002586509,83.13867925,"Sunday",2020-03-15,0,0
"53055","2020-03-15",0,0,0,0,17582,NA,NA,NA,0,280.727,203.507,0.0027213,72.722,"Sunday",2020-03-15,0,0
"53057","2020-03-15",0,4,0,0,129205,2.41538461538461,-122.4759405,48.4653939990638,0.014670659,279.6631737,218.7320359,0.002376946,93.93532934,"Sunday",2020-03-15,0,0
"53059","2020-03-15",0,0,0,0,12083,NA,NA,NA,0.683392226,274.8519435,189.6116608,0.002444028,90.44876325,"Sunday",2020-03-15,0,0
"53061","2020-03-15",22,176,0,4,822083,8.78461538461539,-122.021365,48.1223793323959,0,279.1426702,233.1753927,0.002413796,91.62565445,"Sunday",2020-03-15,0,0
"53063","2020-03-15",0,3,0,0,522798,4.46538461538461,-117.34803025,47.7110974990611,0,275.5820988,183.5703704,0.002294043,94.8595679,"Sunday",2020-03-15,0,0
"53065","2020-03-15",0,0,0,0,45723,2.95769230769231,-117.988602,47.8852009990617,0.269677419,279.6462366,196.371828,0.001961118,96.89935484,"Sunday",2020-03-15,0,0
