"","lag.index","means"
"1",1,0.00398278467500772
"2",2,-0.00467383097272616
"3",3,0.00158185008912209
"4",4,1.6185704327018e-05
"5",5,-0.00458590141618696
"6",6,-0.000843712972724108
"7",7,1.77791663163674e-05
"8",8,0.00229707691113693
