"","pm.coefs","pm.coefs.low","pm.coefs.high","lag.index","fips"
"36",0.0362777276310257,0.031895570430178,0.0406947909343371,6,6019
"37",-0.0306431208879266,-0.0355636691389825,-0.0257735086847318,7,6019
"38",-0.00552803191574694,-0.0102555377546556,-0.000803954828936734,8,6019
"39",0.0352687928944254,0.0310163253690602,0.0395343056561197,9,6019
"40",-0.010262021846903,-0.0138669348676454,-0.00668198279746187,10,6019
"41",-0.0160813866672495,-0.020416513875899,-0.0117494334986856,11,6019
"42",0.0188410373521606,0.0149205014770724,0.0227524799504206,12,6019
"43",0.00953588201928899,0.00565287299948944,0.0134431372655115,13,6019
"44",-0.0205865512118901,-0.0244912866274564,-0.0167093364053654,14,6019
"45",0.0129922996870404,0.0105486868465832,0.015433212274968,15,6019
"46",0.0029210532016656,-0.0048340957166572,0.0106288349219886,1,6025
"47",0.0440396768178168,0.0366311658954245,0.0514520695888507,2,6025
"48",0.007405365314203,-0.00106308504510932,0.0158590451703512,3,6025
"49",-0.0669307941841819,-0.0769759209271951,-0.0569395056472377,4,6025
"50",0.0659723084880758,0.0566268734354642,0.0753186144312311,5,6025
"51",-0.0688060140270366,-0.0778060714478435,-0.0598225256119424,6,6025
"52",0.0572428851147213,0.0485430579132356,0.0659434250572945,7,6025
"53",-0.0161375497784329,-0.0250529495012791,-0.00722831445465247,8,6025
"54",0.0157991949309985,0.00702527104224527,0.024572889128988,9,6025
"55",-0.00758610640524402,-0.0164478927708186,0.0012490928927104,10,6025
"56",-0.0193087140668188,-0.0290596614262348,-0.00959131613436342,11,6025
"57",-0.000255680634271575,-0.0102659265486355,0.00975997393992166,12,6025
"58",0.051772935388966,0.0430592827184897,0.0605067068423891,13,6025
"59",-0.02510468520683,-0.0329732978630546,-0.0172637477100654,14,6025
"60",-0.0153209971404139,-0.0231668972198813,-0.00751124333992625,15,6025
"61",0.00463409230401953,0.00243724796254562,0.00682511057878087,1,6029
"62",-0.0132519231184791,-0.0166245217400415,-0.00990069988984165,2,6029
"63",0.020284883594867,0.0171453839889021,0.023430617075464,3,6029
"64",-0.00546132801234809,-0.00897101441280172,-0.00197245596708165,4,6029
"65",0.0123701680834339,0.00902911972046352,0.0157168731992844,5,6029
"66",-0.0220281655972275,-0.0255691403668025,-0.0185246418137808,6,6029
"67",0.0117620757886938,0.00834779021563211,0.0151781002968658,7,6029
"68",0.00646681027807128,0.00297277215936819,0.00994029741009677,8,6029
"69",-0.0116376686367357,-0.015400574883877,-0.0079003225371551,9,6029
"70",0.0175162959511251,0.013666193117253,0.0213726966922049,10,6029
"71",-0.0224672688444,-0.0265527640913414,-0.0184178930803695,11,6029
"72",0.0115270505143183,0.00795155999108449,0.0151139044922058,12,6029
"73",0.00235222731945675,-0.00144717739211874,0.00614341697956873,13,6029
"74",0.00292138688876227,-0.000632347279413146,0.00648107127684539,14,6029
"75",-0.001731372963213,-0.00486898105540319,0.00137521336832863,15,6029
"76",-0.0346442923763491,-0.0358050625887418,-0.0334904400323796,1,6037
"77",0.0356855202526661,0.0350333672100613,0.0363368518629499,2,6037
"78",0.00325033140538279,0.0024809923012925,0.00401546595127888,3,6037
"79",-0.00284108583010654,-0.00372306922392628,-0.00196444457958299,4,6037
"80",-0.000849394489853561,-0.00172731469834995,2.3451437583022e-05,5,6037
"81",0.00583786696190538,0.00503987447715573,0.00663188250595734,6,6037
"82",0.000501743526113497,-0.000287385511077277,0.00128760235165691,7,6037
"83",0.00754066737364986,0.00674054968922032,0.00833814093151225,8,6037
"84",0.000853681152133011,-3.85294462685976e-05,0.00173950098318523,9,6037
"85",0.00851603105003321,0.00775116142828858,0.009276982638982,10,6037
"86",-0.013666266273121,-0.0145626915151684,-0.0127769925150038,11,6037
"87",0.00915405846734986,0.00840540049644835,0.00989929592371802,12,6037
"88",-0.00592485208106621,-0.00680516277601014,-0.00505069691302322,13,6037
"89",-0.00195469712208216,-0.00285743159678092,-0.00105853067774069,14,6037
"90",0.0066898003637391,0.00587780548028747,0.00749715669266105,15,6037
"91",0.00497890450623557,0.00122194652209182,0.00874541275619159,1,6039
"92",-0.0165147277722728,-0.0216393051863438,-0.0115222962955656,2,6039
"93",0.0290690548926118,0.0221570919508089,0.035989156923543,3,6039
"94",-0.00899806770415152,-0.0140959528686767,-0.00403635256824963,4,6039
"95",0.00338654429567625,-0.00389179203734931,0.0106456679492956,5,6039
"96",-0.0100523631970114,-0.0196365801650374,-0.000612170374177402,6,6039
"97",0.00170660151785352,-0.00720660834241886,0.010568450924733,7,6039
"98",0.0140321395705735,0.00718064979578457,0.0209145924622797,8,6039
"99",0.00866373720709474,0.00249232271872992,0.0149204522952603,9,6039
"100",-0.0165140293456901,-0.0235005725406547,-0.00958813625059873,10,6039
"101",0.000871702763553847,-0.0106894144404555,0.0124477809197253,11,6039
"102",0.0120384185723443,2.67542141734967e-05,0.0241090489700605,12,6039
"103",-0.0188138325507447,-0.0310217029840885,-0.00669077165062079,13,6039
"104",0.0187644970133576,0.00979543781377743,0.0276862535736238,14,6039
"105",0.00120617664668253,-0.00453930914470177,0.00687367574238591,15,6039
"106",-0.0407297388183843,-0.0492025628138569,-0.0329100924876795,1,6041
"107",0.0570776036978375,0.0459557696528889,0.0682904321711494,2,6041
"108",-0.0944869829473646,-0.120395343329115,-0.0693057556082027,3,6041
"109",0.0467476157997163,0.0304381038374129,0.0633899174909963,4,6041
"110",-0.00819916528876016,-0.0171604638676638,0.000891915503193815,5,6041
"111",0.0128267863288735,-0.00160514349101235,0.0272439708394421,6,6041
"112",-0.0556494991140028,-0.0696075568031105,-0.0419176123962072,7,6041
"113",0.0163840526961892,0.00724078782693559,0.0254257204165095,8,6041
"114",0.0228690941479884,0.00502198288901662,0.0397212551377358,9,6041
"115",-0.0527705853728312,-0.0788489892922238,-0.0262076357511921,10,6041
"116",-0.0604589739100412,-0.078333046231355,-0.0428417514341207,11,6041
"117",0.0575981125577892,0.0357660486774122,0.0796400749439746,12,6041
"118",-0.145775585702719,-0.172525087053982,-0.119563891482976,13,6041
"119",0.00690831020490574,-0.0140744630150415,0.0280623067138979,14,6041
"120",-0.188446465190875,-0.205580994013424,-0.171515123784157,15,6041
"121",-0.0146237673449519,-0.0180824113910908,-0.0112172331516577,1,6047
"122",0.0158999938100566,0.0106760940938095,0.0211701723811262,2,6047
