"base","base.low","base.high","hazard","hazard.low","hazard.high","lag","df.date","df.tmmx","df.rmax","cause","mobility"
"8.17677208635559","5.75259592302595","10.6565178555144","0.855413649377668","0.131521207416974","1.58453941108834","0","3","1","1","cases",0
"9.82325398597899","7.38428262036104","12.3176206215298","1.81718695977435","1.12063201196009","2.51854002628775","0","4","1","1","cases",0
"9.64734142657662","7.27733294148318","12.0697089708059","1.6831448851359","0.982047708849554","2.38910963206227","0","5","2","2","cases",0
"8.75118064085303","6.35995695889029","11.19616469336","1.49650920099549","0.800145703766453","2.19768342659088","0","6","2","2","cases",0
"8.99570747806262","6.63714684256342","11.4064338778948","1.55560883463333","0.865646844745394","2.25029044475253","0","7","2","2","cases",0
"9.25136866161611","6.90241903644346","11.6519313783477","1.58396132219112","0.894973854100423","2.27765371970547","0","8","2","2","cases",0
"8.78027660775307","6.35711339288429","11.2586474131495","1.59336382420068","0.898838799764334","2.29266952813052","0","9","3","3","cases",0
"8.99853709709082","6.59065337120195","11.4608149359157","1.61231291370991","0.917601576709148","2.31180660615924","0","10","3","3","cases",0
"9.07552483122323","6.67027390947867","11.5350104688312","1.65702702200772","0.965360950669969","2.35343137140178","0","11","3","3","cases",0
"8.5970373301625","6.15188554922645","11.0985118716495","1.659692850147","0.969514685513939","2.35458873478116","0","12","3","3","cases",0
"6.6123437531046","4.00638815087653","9.28359346583416","1.90465499828498","1.25039586593509","2.56314181793034","1","3","1","1","cases",0
"7.97248882868524","5.32183277295","10.6898544862269","2.91385368032859","2.28381901167651","3.54776915522688","1","4","1","1","cases",0
"7.97393621785756","5.39435360709528","10.6166554789052","2.77640736908729","2.14206525303469","3.41468899741821","1","5","2","2","cases",0
"6.81821519696391","4.20813851022346","9.49366585936557","2.52452378027339","1.89124151349858","3.16174207161177","1","6","2","2","cases",0
"6.97751983360853","4.39372754221761","9.62526216071737","2.50669428820696","1.87717025239402","3.1401083075234","1","7","2","2","cases",0
"7.34146751375333","4.77429475336659","9.97154096936486","2.53261849863071","1.90439808287932","3.16471176872593","1","8","2","2","cases",0
"6.85473362075797","4.22913802862348","9.54646956811198","2.5441550688418","1.91112197355972","3.18112032473563","1","9","3","3","cases",0
"7.09071361454401","4.48066808008134","9.76596104536847","2.55498850349258","1.92174347713743","3.19216791371639","1","10","3","3","cases",0
"7.21093300662421","4.6117976195851","9.87464528569537","2.58671475853971","1.95643702808312","3.22088876106197","1","11","3","3","cases",0
"6.55213928448202","3.9053855566572","9.26631305274288","2.56316173213562","1.93358087338382","3.19663112354087","1","12","3","3","cases",0
"8.36122848408742","5.8937889946969","10.8861619746994","1.31022576472253","0.616325273180918","2.00891174103366","2","3","1","1","cases",0
"9.32559786784226","6.77397089678504","11.9382022488876","2.47271341084774","1.80635221677758","3.14343619170785","2","4","1","1","cases",0
"9.58991333195085","7.11774696562613","12.1191347308534","2.27259703683913","1.60162890878872","2.94799617877872","2","5","2","2","cases",0
"8.41138474502938","5.91225305256518","10.9694865664094","1.962539289708","1.29053354791053","2.63900341178238","2","6","2","2","cases",0
"8.45695185912358","5.98487737978459","10.9866869442252","1.89592200588298","1.22616251965204","2.57011293313893","2","7","2","2","cases",0
"8.83124832598594","6.38228413586999","11.3365886848709","1.92565695283684","1.25748701697705","2.59823595588111","2","8","2","2","cases",0
"8.48375481940669","5.98111556414971","11.0454914261929","1.91250790690916","1.23840135860229","2.59110306460113","2","9","3","3","cases",0
"8.68998154317968","6.20323030841394","11.2349601189185","1.9150993916567","1.24040075899177","2.59429443327999","2","10","3","3","cases",0
"8.79296040835529","6.32224113595912","11.3210943256815","1.94422382208257","1.27288582502536","2.62001211896703","2","11","3","3","cases",0
"8.12571844115344","5.60887909784678","10.7025383498645","1.90431034167553","1.2337734459406","2.57928863787631","2","12","3","3","cases",0
"10.1429822551632","7.78434508891677","12.5532333109537","1.08937216642429","0.370194092659992","1.81370333475472","3","3","1","1","cases",0
"11.1225801829491","8.69255122196249","13.6069370687553","2.38078848833352","1.6906298972492","3.07563107912683","3","4","1","1","cases",0
"11.3152528592592","8.96320599183897","13.7180703002524","2.14176611375367","1.44811727303975","2.84015776022046","3","5","2","2","cases",0
"10.1247419469868","7.75305290583581","12.5486328400225","1.78062324546358","1.08378490625733","2.48226535880074","3","6","2","2","cases",0
"10.0243763071903","7.67558246468658","12.4244058373802","1.66413758275505","0.967707347997715","2.3653714828092","3","7","2","2","cases",0
"10.3758394737513","8.0546333587483","12.746909233291","1.69360818527857","0.998836610425413","2.39315909776989","3","8","2","2","cases",0
"10.2002323086271","7.81485660006485","12.6383838353876","1.69637966708189","0.994843257911104","2.4027891303366","3","9","3","3","cases",0
"10.3395798600403","7.9666590186406","12.7646534064577","1.68896653335451","0.986524374984588","2.39629473953042","3","10","3","3","cases",0
