"pm","pm.low","pm.high","lag","max.lag","cause","mobility","df.date","df.tmmx","df.rmax"
-0.868880689918894,-2.40117412818576,0.687469627721082,0,14,"cases",0,6,2,2
4.12617416147598,2.00847589653925,6.28783589025137,1,14,"cases",0,6,2,2
-1.4571286978408,-3.54613672832439,0.677123290773651,2,14,"cases",0,6,2,2
-0.0113699987578819,-2.14530016596799,2.1690950611682,3,14,"cases",0,6,2,2
0.874587655167325,-1.23503612365027,3.02927308655361,4,14,"cases",0,6,2,2
-0.986256792912454,-3.11936697666318,1.19382004365656,5,14,"cases",0,6,2,2
0.962942051071125,-1.19493701027308,3.16794867756724,6,14,"cases",0,6,2,2
3.22971009135282,1.03336840862926,5.47379755216189,7,14,"cases",0,6,2,2
-4.58590698161446,-6.78171245977234,-2.33837815790782,8,14,"cases",0,6,2,2
0.305005608100095,-1.98232623279647,2.64571442428385,9,14,"cases",0,6,2,2
1.60409903917194,-0.614545522685161,3.87227181134659,10,14,"cases",0,6,2,2
3.77436393255803,1.58054206781717,6.01556548514306,11,14,"cases",0,6,2,2
-2.14604900193688,-4.33218990597116,0.0900482254165391,12,14,"cases",0,6,2,2
-0.455113243305894,-2.65817667167922,1.79781044352043,13,14,"cases",0,6,2,2
0.92776719153993,-0.629611050071022,2.50955337814409,14,14,"cases",0,6,2,2
-0.917722923406949,-2.48018448828217,0.669772385932443,0,21,"cases",0,6,2,2
4.12942217385597,1.96846187501938,6.33617848968915,1,21,"cases",0,6,2,2
-1.49261875513388,-3.62315692983456,0.685017796824838,2,21,"cases",0,6,2,2
0.255236079253018,-1.91893143076926,2.47759845940256,3,21,"cases",0,6,2,2
0.627773418011346,-1.51895330262879,2.8212952912992,4,21,"cases",0,6,2,2
-0.818421349031995,-2.99026583201857,1.40204617677326,5,21,"cases",0,6,2,2
0.847290548562496,-1.34377353083541,3.08701614656746,6,21,"cases",0,6,2,2
3.15004400956127,0.912926570183936,5.43675563481412,7,21,"cases",0,6,2,2
-4.22012743357179,-6.45831358364353,-1.9283878632626,8,21,"cases",0,6,2,2
0.0157911689658841,-2.31766799079036,2.40499256519677,9,21,"cases",0,6,2,2
1.68513354384698,-0.572535899864546,3.99406720678808,10,21,"cases",0,6,2,2
3.77234079805906,1.54164126063749,6.05204506264942,11,21,"cases",0,6,2,2
-1.93362199441687,-4.1705746785438,0.355548025817809,12,21,"cases",0,6,2,2
-0.227956691439701,-2.51877035740714,2.1166912077583,13,21,"cases",0,6,2,2
-0.30008273706299,-2.67211887503173,2.12976371563565,14,21,"cases",0,6,2,2
1.18596806640143,-1.25293110727942,3.68510426023974,15,21,"cases",0,6,2,2
-3.65008947606542,-6.01623046504409,-1.22437838038186,16,21,"cases",0,6,2,2
3.9711821953466,1.65677819838481,6.33827786674546,17,21,"cases",0,6,2,2
2.19671008388107,-0.0980644404256714,4.54419620069009,18,21,"cases",0,6,2,2
-4.02728096593996,-6.37429600414638,-1.62143080709389,19,21,"cases",0,6,2,2
2.13816528055564,-0.275160578991862,4.60989325674905,20,21,"cases",0,6,2,2
-0.0169576442971664,-1.65258255841881,1.64586949769472,21,21,"cases",0,6,2,2
-0.982110010299253,-2.4652455987517,0.523578474166886,0,14,"cases",1,6,2,2
4.08794519539293,2.03101541450945,6.18634236838553,1,14,"cases",1,6,2,2
-1.4256238459648,-3.46133420841893,0.653013530715452,2,14,"cases",1,6,2,2
-0.0713400711747747,-2.14762612710266,2.04900177630336,3,14,"cases",1,6,2,2
0.809122616145008,-1.23974501275244,2.90049579103653,4,14,"cases",1,6,2,2
-0.949900740857945,-3.03150185990478,1.17638564507376,5,14,"cases",1,6,2,2
0.909478794088625,-1.20178131548316,3.06585529654297,6,14,"cases",1,6,2,2
3.13899493618264,0.9958229987866,5.32764584307324,7,14,"cases",1,6,2,2
-4.4725650069571,-6.60605966542476,-2.29033271688932,8,14,"cases",1,6,2,2
0.23907334918658,-1.97769972819869,2.50597872160057,9,14,"cases",1,6,2,2
1.57288597015897,-0.574604016720115,3.76675961181896,10,14,"cases",1,6,2,2
3.82961061704006,1.7087802092383,5.99466455804518,11,14,"cases",1,6,2,2
-2.13690128562209,-4.25497451890144,0.0280280030919178,12,14,"cases",1,6,2,2
-0.532513435713688,-2.66930548704251,1.65118961623492,13,14,"cases",1,6,2,2
0.935170999128832,-0.571349785915076,2.46451825190497,14,14,"cases",1,6,2,2
-1.04772835341882,-2.55913867662944,0.487125534781718,0,21,"cases",1,6,2,2
4.08962461877855,1.99131554773311,6.23110306100021,1,21,"cases",1,6,2,2
-1.46782784894911,-3.54475730187206,0.653823236844731,2,21,"cases",1,6,2,2
0.162181266522032,-1.95485322882384,2.32492771398467,3,21,"cases",1,6,2,2
0.577412715711279,-1.50969383262524,2.70874710649864,4,21,"cases",1,6,2,2
