"pm","pm.low","pm.high","lag","df.date","df.tmmx","df.rmax","cause","mobility"
"5.35986032939579","2.73517258162985","8.05160384394694","0","3","1","1","cases",0
"8.85546855902113","6.30603511328303","11.4660425682966","0","4","1","1","cases",0
"9.58894960252574","7.10543891616178","12.130046769947","0","5","2","2","cases",0
"8.78867763592861","6.27417322438131","11.3626765816968","0","6","2","2","cases",0
"7.46343830322702","4.90396958535255","10.0853534675388","0","7","2","2","cases",0
"7.5085031607111","4.983327857802","10.0944167774128","0","8","2","2","cases",0
"8.00181193055254","5.46300685275474","10.6017335212907","0","9","3","3","cases",0
"7.64335955365059","5.07208977168745","10.2775521184955","0","10","3","3","cases",0
"7.41297469841735","4.82271155402776","10.0672455664931","0","11","3","3","cases",0
"7.64890165817504","5.08147041623412","10.2790623533296","0","12","3","3","cases",0
"8.44176067173457","5.85525796922555","11.0914628445243","1","3","1","1","cases",0
"11.8274671116384","9.27550351619873","14.4390279450948","1","4","1","1","cases",0
"13.2800776709571","10.7761314409596","15.8406222551411","1","5","2","2","cases",0
"12.4681169999879","9.93578291547754","15.0587825553398","1","6","2","2","cases",0
"10.6904957480492","8.09893922226912","13.3441820715371","1","7","2","2","cases",0
"10.5288326477875","7.95602517452811","13.162955256388","1","8","2","2","cases",0
"10.8033052425177","8.25014751037447","13.4166810395331","1","9","3","3","cases",0
"10.5106214217266","7.93140105744774","13.1514770248917","1","10","3","3","cases",0
"10.2452813742486","7.64239934166975","12.9111032420314","1","11","3","3","cases",0
"10.4249770243491","7.84320938954515","13.0685522051067","1","12","3","3","cases",0
"6.8928294092053","4.0033445570171","9.86259170580253","2","3","1","1","cases",0
"10.0137881286277","7.11461776851878","12.9914275992281","2","4","1","1","cases",0
"11.1444188576536","8.36586321655517","13.9942180732645","2","5","2","2","cases",0
"10.2836177443063","7.47933892537935","13.1610639251924","2","6","2","2","cases",0
"8.0224573449341","5.12193272739832","11.0030132446072","2","7","2","2","cases",0
"7.71194895476399","4.82483135213934","10.67858443444","2","8","2","2","cases",0
"8.81044271701896","5.829205519374","11.8756621687591","2","9","3","3","cases",0
"8.4515414871849","5.43715899261143","11.5521032937809","2","10","3","3","cases",0
"8.04827294294361","4.99946361159227","11.1856088059477","2","11","3","3","cases",0
"8.26219272212609","5.23905602638255","11.3721731793612","2","12","3","3","cases",0
