"pm","pm.low","pm.high","lag","df.date","df.tmmx","df.rmax","cause","mobility"
"1.23945783674795","0.547223099634642","1.93645838356233","0","3","1","1","cases",0
"2.18781343938972","1.52007212574856","2.8599467757374","0","4","1","1","cases",0
"2.0685264985232","1.3974394244243","2.74405508380404","0","5","2","2","cases",0
"1.84200777123851","1.1734310397439","2.51500260777613","0","6","2","2","cases",0
"1.91489851223097","1.25332256657904","2.58079710844654","0","7","2","2","cases",0
"1.94851303998962","1.28781673166596","2.61351904345648","0","8","2","2","cases",0
"1.92401165815628","1.25568417619166","2.59675036529587","0","9","3","3","cases",0
"1.95596197470778","1.28818906842074","2.62813737509082","0","10","3","3","cases",0
"1.99999756553295","1.33527474571047","2.66908072708545","0","11","3","3","cases",0
"1.97062604058504","1.30549637742228","2.64012266787748","0","12","3","3","cases",0
"2.08345532677994","1.44687879292758","2.72402636187543","1","3","1","1","cases",0
"3.08094734094022","2.46639681578025","3.69918368271627","1","4","1","1","cases",0
"2.95462590570315","2.33660178149377","3.57638235843871","1","5","2","2","cases",0
"2.66873730155013","2.0497916392535","3.29143695223542","1","6","2","2","cases",0
"2.66006056264327","2.04541634090434","3.27840693517802","1","7","2","2","cases",0
"2.69623983514002","2.08325046738616","3.31291008064083","1","8","2","2","cases",0
"2.68551473300491","2.06636078560325","3.30842458595304","1","9","3","3","cases",0
"2.70534362351142","2.08650051002892","3.32793813210679","1","10","3","3","cases",0
"2.74005647744033","2.12439718804249","3.35942728309733","1","11","3","3","cases",0
"2.69036990037037","2.07374182251432","3.31072303209052","1","12","3","3","cases",0
"1.62375017899654","0.958218498405761","2.29366914399523","2","3","1","1","cases",0
"2.73436479380857","2.09182705788094","3.3809464846148","2","4","1","1","cases",0
"2.56602027653983","1.92101685978228","3.21510557376177","2","5","2","2","cases",0
"2.21811780308927","1.5696729638714","2.87070246768253","2","6","2","2","cases",0
"2.16206340311211","1.51656282100698","2.81166844846856","2","7","2","2","cases",0
"2.20628258865934","1.5630513747207","2.85358759113605","2","8","2","2","cases",0
"2.17195343448375","1.52146490935194","2.82660989909225","2","9","3","3","cases",0
"2.18530578982694","1.53489649509717","2.83988145755034","2","10","3","3","cases",0
"2.21906025411329","1.57242335436685","2.86981381531475","2","11","3","3","cases",0
"2.14517013540185","1.49706243537477","2.79741631570367","2","12","3","3","cases",0
"1.52904578317492","0.845784758236134","2.21693611046203","3","3","1","1","cases",0
"2.74998305519618","2.0903867128562","3.41384098718076","3","4","1","1","cases",0
"2.55260283205727","1.89205455835022","3.21743332407651","3","5","2","2","cases",0
"2.15241111361535","1.48637066574331","2.82282268911063","3","6","2","2","cases",0
"2.04502807698006","1.38002439350253","2.71439386139101","3","7","2","2","cases",0
"2.09450043865096","1.43216590251762","2.76115990498618","3","8","2","2","cases",0
"2.07507660399582","1.40424830885968","2.75034268757828","3","9","3","3","cases",0
"2.07712640450355","1.40588738908047","2.75280857236508","3","10","3","3","cases",0
"2.10963245945357","1.44260719934655","2.78104367443603","3","11","3","3","cases",0
"2.01577687128613","1.3472437523433","2.68871994273063","3","12","3","3","cases",0
"1.60562003045774","0.91437980934661","2.30159508761687","4","3","1","1","cases",0
"2.91418364737688","2.25108753721917","3.58157992159052","4","4","1","1","cases",0
"2.66273544994864","1.99710965587268","3.33270507003336","4","5","2","2","cases",0
"2.21329090580695","1.53895699539066","2.89210315868602","4","6","2","2","cases",0
"2.04848047257793","1.37194529297044","2.72953070660138","4","7","2","2","cases",0
"2.09836913704671","1.42460782757436","2.77660622721831","4","8","2","2","cases",0
"2.11439294594726","1.43019567463114","2.80320546919073","4","9","3","3","cases",0
"2.10246522316488","1.41717817390403","2.79238283253733","4","10","3","3","cases",0
"2.12522253498857","1.44384412938086","2.81117762571319","4","11","3","3","cases",0
"2.0054855574182","1.32163752413714","2.69394907209148","4","12","3","3","cases",0
"2.02093287287","1.33351165337827","2.71301738612602","5","3","1","1","cases",0
"3.40619349118854","2.75017965252504","4.06639568414955","5","4","1","1","cases",0
"3.10066164823954","2.43961363215959","3.76597544065413","5","5","2","2","cases",0
"2.61542557746706","1.94243673930119","3.29285725603172","5","6","2","2","cases",0
"2.39671703813464","1.71746204768408","3.08050799844488","5","7","2","2","cases",0
"2.44524078605639","1.76822485589641","3.12676058341401","5","8","2","2","cases",0
"2.53278120310205","1.84344912471037","3.22677905743107","5","9","3","3","cases",0
"2.50919965473444","1.81790123833838","3.20519168094469","5","10","3","3","cases",0
"2.5171952985543","1.82863849913768","3.21040806188255","5","11","3","3","cases",0
"2.37414597369059","1.68191218793343","3.07109237355812","5","12","3","3","cases",0
"2.15952889084567","1.46016897062076","2.86370946436716","6","3","1","1","cases",0
"3.63871080864782","2.97435604671363","4.3073517566447","6","4","1","1","cases",0
"3.28772597194249","2.61566541512266","3.96418805352177","6","5","2","2","cases",0
"2.76338435746317","2.07595123439581","3.45544701660614","6","6","2","2","cases",0
"2.48719031365738","1.78891538354811","3.19025543016545","6","7","2","2","cases",0
"2.536878142569","1.84019275748588","3.23832952929299","6","8","2","2","cases",0
"2.73324970833329","2.02188250186488","3.4495770595278","6","9","3","3","cases",0
"2.69753618615174","1.98295818576419","3.41712111836123","6","10","3","3","cases",0
"2.69405870989965","1.98137950301154","3.4117183519849","6","11","3","3","cases",0
"2.53791856959782","1.82079247456062","3.2600953995948","6","12","3","3","cases",0
"2.36749767625704","1.67065369301422","3.06911778239609","7","3","1","1","cases",0
"3.86637189228234","3.20529352099499","4.53168478098711","7","4","1","1","cases",0
"3.5220059164387","2.85038046839428","4.19801716004757","7","5","2","2","cases",0
"2.98840641874507","2.29971787594081","3.68173125888072","7","6","2","2","cases",0
"2.6731814826374","1.97008554747473","3.38112534836117","7","7","2","2","cases",0
"2.72508895474421","2.02300129458781","3.43200814383322","7","8","2","2","cases",0
"2.96206253408346","2.2441280961603","3.68503814030405","7","9","3","3","cases",0
"2.9181521010899","2.19578293949096","3.64562731687832","7","10","3","3","cases",0
"2.9065782889258","2.18586032624748","3.63237948308126","7","11","3","3","cases",0
"2.74930869680741","2.02376959168988","3.48000745241774","7","12","3","3","cases",0
"1.9920392968479","1.26387869564009","2.72543589995471","8","3","1","1","cases",0
"3.46932135474525","2.77873881345942","4.16454400206698","8","4","1","1","cases",0
"3.13425744031428","2.43227611280838","3.84104953453224","8","5","2","2","cases",0
"2.55177583144834","1.82985686048514","3.27881282002158","8","6","2","2","cases",0
"2.1871537210713","1.44728117335164","2.93242228710251","8","7","2","2","cases",0
"2.25355920636057","1.51603578727117","2.99644080152026","8","8","2","2","cases",0
"2.41493470729766","1.66163994995214","3.17381124545768","8","9","3","3","cases",0
"2.35887492294118","1.60038061398224","3.12303174628485","8","10","3","3","cases",0
"2.35401768986174","1.59873962843851","3.11491043658672","8","11","3","3","cases",0
"2.17197586705145","1.41095890242724","2.93870372157075","8","12","3","3","cases",0
"2.44250146782612","1.7085025248919","3.18179745510623","9","3","1","1","cases",0
"3.8477544384961","3.15000259300249","4.55022618341436","9","4","1","1","cases",0
"3.54577336238602","2.83994763829734","4.2564434097579","9","5","2","2","cases",0
"2.9874215939043","2.26329527314382","3.71667545262468","9","6","2","2","cases",0
"2.62999400419017","1.88852103749737","3.37686288942944","9","7","2","2","cases",0
"2.70157802004176","1.96332942538531","3.44517178134376","9","8","2","2","cases",0
"2.88018800073717","2.12801027068543","3.63790555611287","9","9","3","3","cases",0
"2.82434625528489","2.06735197123868","3.58695487471856","9","10","3","3","cases",0
"2.83024910596625","2.07808866895101","3.58795182272429","9","11","3","3","cases",0
"2.67155541085999","1.91580481822384","3.43291022709318","9","12","3","3","cases",0
"2.63930663923695","1.81459081990318","3.47070279954327","10","3","1","1","cases",0
"4.10171569861997","3.32014465132493","4.88919898407565","10","4","1","1","cases",0
"3.83823618927233","3.05238394272176","4.63008115263137","10","5","2","2","cases",0
"3.26045058019069","2.45534212793774","4.07188568761285","10","6","2","2","cases",0
"2.89303084037031","2.07008094406151","3.72261584978542","10","7","2","2","cases",0
"2.982752368374","2.16580216033355","3.80623516979017","10","8","2","2","cases",0
"3.1020962037734","2.27079301012021","3.94015660522207","10","9","3","3","cases",0
"3.04082501985663","2.20476088102761","3.88372840216322","10","10","3","3","cases",0
"3.08261954661841","2.25555967747799","3.91636881269042","10","11","3","3","cases",0
"2.95569322784868","2.12888921271013","3.78919079350677","10","12","3","3","cases",0
"3.19346831932417","2.25868372754245","4.13679812410084","11","3","1","1","cases",0
"4.68157440877528","3.79850442563241","5.57215714558879","11","4","1","1","cases",0
"4.45639483557836","3.57620451349558","5.34406501277582","11","5","2","2","cases",0
"3.88381217781633","2.98430095248152","4.79118013895472","11","6","2","2","cases",0
"3.52728816975336","2.61019345200437","4.4525795655616","11","7","2","2","cases",0
"3.64078776230574","2.73316734559248","4.55642676583103","11","8","2","2","cases",0
"3.67817543534508","2.7505364051867","4.61418925555694","11","9","3","3","cases",0
"3.61469174144045","2.68193378727861","4.55592282586932","11","10","3","3","cases",0
"3.72220330166755","2.80357293457056","4.64904234991506","11","11","3","3","cases",0
"3.65652711332365","2.74354142262883","4.57762565335063","11","12","3","3","cases",0
"2.56908802458418","1.36645295924547","3.7859914307611","12","3","1","1","cases",0
"4.19651669579462","3.05265334187632","5.35307669875595","12","4","1","1","cases",0
"4.00271463703878","2.85976365790797","5.15836579060363","12","5","2","2","cases",0
"3.34403214703389","2.1814578568438","4.51983368029292","12","6","2","2","cases",0
"2.94972160718543","1.76700262812413","4.14618594719187","12","7","2","2","cases",0
"3.14602056308859","1.97954313210502","4.32584056803555","12","8","2","2","cases",0
"2.94120380032661","1.75590214361634","4.14031242044444","12","9","3","3","cases",0
"2.87376538648925","1.67851890156465","4.08306217599301","12","10","3","3","cases",0
"3.14987279425121","1.97560924000484","4.33765815930223","12","11","3","3","cases",0
"3.22018318961266","2.06173511041383","4.39178019236002","12","12","3","3","cases",0
"2.53859898537472","1.17455252990719","3.92103566532207","13","3","1","1","cases",0
"4.20451639115507","2.91626017020394","5.50889838356423","13","4","1","1","cases",0
