"pm","pm.low","pm.high","max.lag","df.date","df.tmmx","df.rmax","cause","mobility"
"-0.265544387212746","-1.12526234794852","0.601648839597679","0","3","1","1","cases",1
"-0.00604401910002661","-0.761834589494148","0.755502596701962","0","4","1","1","cases",1
"-0.120165231438296","-0.893864556415835","0.65957419027789","0","5","2","2","cases",1
"1.69622490163337","0.942085530487624","2.45599845586661","0","6","2","2","cases",1
"1.43617960548479","0.683161449270164","2.19482965024389","0","7","2","2","cases",1
"1.45036320170282","0.689133557797228","2.21734789136443","0","8","2","2","cases",1
"1.4001453856721","0.639433275993051","2.16660755668374","0","9","3","3","cases",1
"1.32200430034994","0.563346694180433","2.08638527773095","0","10","3","3","cases",1
"1.48272861651411","0.72314787652199","2.24803756211465","0","11","3","3","cases",1
"1.52643620620401","0.758473832552808","2.3002518464333","0","12","3","3","cases",1
"-0.0891006102197611","-0.966728809536377","0.796305088991356","1","3","1","1","cases",1
"0.271835740768211","-0.498470296039943","1.04810521745622","1","4","1","1","cases",1
"0.14455767222783","-0.645601643070315","0.941001075134329","1","5","2","2","cases",1
"2.09516637444465","1.32652117248642","2.86964238397089","1","6","2","2","cases",1
"1.80372881241684","1.03565454810561","2.57764198654791","1","7","2","2","cases",1
"1.82907031363146","1.05325646526351","2.61084029986545","1","8","2","2","cases",1
"1.79707960110735","1.02067895818714","2.57944731893285","1","9","3","3","cases",1
"1.70619152087637","0.932140770749434","2.48617848279071","1","10","3","3","cases",1
"1.87291218359493","1.09839632634285","2.65336161481982","1","11","3","3","cases",1
"1.9374344539697","1.15306059789451","2.72789060100529","1","12","3","3","cases",1
"-0.600041117831118","-1.55701862527128","0.36623929710895","2","3","1","1","cases",1
"-0.16287162862354","-1.00380023032091","0.685200286805032","2","4","1","1","cases",1
"-0.3048254973404","-1.16901640554139","0.566922007978765","2","5","2","2","cases",1
"1.94375585143953","1.10314758245718","2.79135324270718","2","6","2","2","cases",1
"1.60053955122343","0.760694553748809","2.44738469516297","2","7","2","2","cases",1
"1.63802867320877","0.79083260864794","2.49234583354023","2","8","2","2","cases",1
"1.60280927327376","0.752642592265862","2.46014979475773","2","9","3","3","cases",1
"1.49832344983345","0.651256650483023","2.35251904405875","2","10","3","3","cases",1
"1.68353499804179","0.836541162048876","2.53764330414585","2","11","3","3","cases",1
"1.75597535531744","0.897485770769202","2.62176942680259","2","12","3","3","cases",1
"-0.718788367072321","-1.73237512448506","0.305253086036017","3","3","1","1","cases",1
"-0.182582877117576","-1.07305559191524","0.715905264220784","3","4","1","1","cases",1
"-0.315957002048117","-1.23245493137963","0.609045425941179","3","5","2","2","cases",1
"2.21573427898611","1.32356230696156","3.11576198376959","3","6","2","2","cases",1
"1.82275326968209","0.930947455827846","2.72243890265693","3","7","2","2","cases",1
"1.87377819192047","0.975323658159066","2.78022696150102","3","8","2","2","cases",1
"1.81698146728324","0.912418060913245","2.72965324100649","3","9","3","3","cases",1
"1.69738922616642","0.79643266693219","2.60639887517926","3","10","3","3","cases",1
"1.89861835373331","0.998447160209448","2.80681252385171","3","11","3","3","cases",1
"1.98660946976308","1.07316069548526","2.90831353810204","3","12","3","3","cases",1
"-0.783195290152872","-1.86043538438043","0.305869252503377","4","3","1","1","cases",1
"-0.203778462885529","-1.15017221827255","0.751676119013123","4","4","1","1","cases",1
"-0.318376710417889","-1.29426644933194","0.66716151342463","4","5","2","2","cases",1
"2.51762682196597","1.56629992829782","3.47786437654483","4","6","2","2","cases",1
"2.06340720318217","1.11111285990413","3.02467053602611","4","7","2","2","cases",1
"2.13086905190887","1.17292657744064","3.09788167800196","4","8","2","2","cases",1
"2.03886395808783","1.07118295927866","3.01580977885754","4","9","3","3","cases",1
"1.90233879265134","0.938633282972723","2.87524522252451","4","10","3","3","cases",1
"2.1169489373519","1.15479746145695","3.08825208460404","4","11","3","3","cases",1
"2.21525937893772","1.23812331627426","3.2018266208218","4","12","3","3","cases",1
"-1.01412197303375","-2.16644036514941","0.151768834128063","5","3","1","1","cases",1
"-0.190126266018487","-1.19606460011538","0.826053683737848","5","4","1","1","cases",1
"-0.344562160544715","-1.38315312512991","0.704966805263396","5","5","2","2","cases",1
"2.78725777687128","1.76268960945622","3.8221415121404","5","6","2","2","cases",1
"2.25339762743091","1.22837265804141","3.28880186263576","5","7","2","2","cases",1
"2.33873353084122","1.30869472068729","3.37924508426115","5","8","2","2","cases",1
"2.20835364533538","1.16540434182526","3.26205507559052","5","9","3","3","cases",1
"2.05086855876473","1.01273352144799","3.09967278914389","5","10","3","3","cases",1
"2.27713982286974","1.24080668658855","3.324081195143","5","11","3","3","cases",1
"2.38431175689131","1.33098415358717","3.44858861771182","5","12","3","3","cases",1
"-0.970446917697365","-2.18045675691259","0.254530521676855","6","3","1","1","cases",1
